"MES","TIRE01","TIRE02","TIRE03","TIRE04","TIRE05","TIRE06","TIRE07","TIRE08","TIRE09","TIRE10","TIRE11","TIRE12"
2007-09-01,"1.5152041280094355","3.9629627808973398","1.306482199931557","5.3887072003340197","1.550834903330363","-4.5184249994846413","-1.6892964112470876","-6.5024151632775764","-3.4101713402594465","-0.23530805657482334","-6.7181092162777576","-5.2722710688710572"
2007-10-01,"1.0049953267000531","3.5542593785611296","0.79202167573893789","4.7096247483948916","0.67329009763983871","-5.0426387601738334","-2.0722118739129991","-7.2240704115210121","-3.8341908129337234","-0.81646151256087318","-7.435813992530262","-6.0087364828553627"
2007-11-01,"0.46503813002014271","3.0940949518153418",,"4.1983958874939109","-0.22226957668361241","-5.5378459848151405","-2.4206446104237611","-7.9798546949264431","-4.3275860825052463","-1.2793842926743904","-8.1913551129238051","-6.8518549899604926"
2007-12-01,"1.0875738536774284E-2","2.7147310874038424",,"3.4948092334297298","-1.1075235110735386","-6.0316140277571186","-2.6826557954130248","-8.7219190085718061","-4.7402771329879823","-1.6098276625744368","-8.9616828857078481","-7.6837357133393835"
2008-01-01,"-0.31676321606205232","2.4768038081946266",,"3.0403366360274964","-1.8711417821955711","-6.4024708467116529","-2.7941988311043109","-9.31784209476303","-5.1171826819912249","-1.7458231719929551","-10.043437367824247","-8.3766362996300199"
2008-02-01,"-0.69782133422615134","2.2095696802476676",,"2.4841192066509699","-2.7545633851783902","-6.8331390775292959","-2.9821847451992567","-10.052808223050658","-5.4861816985851304","-2.0179084407925485","-10.717320883990872","-9.2093172554580907"
2008-03-01,"-1.152837425736031","1.8141912894903731",,"1.949360828801594","-3.6006798217367675","-7.2964823767501086","-3.136865375428799","-10.80409830502883","-5.8765339110058328","-2.2439008610687261","-11.543850709328234","-10.044348832430124"
2008-04-01,"-1.7017976590288995","1.3403024755116115",,"1.6498330143960516","-4.6953140732747567","-7.7807621036417212","-3.3841000549315492","-11.701908862588539","-6.321796547063439","-2.5511435150498918","-12.52456768654601","-10.989072544532878"
2008-05-01,"-2.3591982132643148","0.6932633804747923",,"2.0419107194982855","-6.0550925469962875","-8.4712639025052372","-3.7358073337932285","-12.792188781070788","-7.0132430120962974","-3.0508283177781759","-13.708547721119091","-12.196228"
2008-06-01,"-3.0432018369696223","2.1028239016729344E-2",,"1.8667846971413882","-7.4100001298137315","-9.1380482439109461","-4.0635942980070228","-13.921030441042671","-7.8046461319475231","-3.3960384218355344","-14.934758764236978","-13.39554968118094"
2008-07-01,"-3.4231399793484552","-0.40366509638650738",,"1.5669159403315813","-8.3356895373895128","-9.4500064200838452","-3.9982686398693623","-14.736295500833085","-8.0974065273941243","-3.3197867785215163","-15.815012310897114","-14.210201034683456"
2008-08-01,"-3.6215665391046814","-0.64555890798795312",,"1.6183125938498577","-9.0051716089753384","-9.6084785788155607","-3.7124486535896839","-15.330004755700688","-8.2290494078361416","-3.1168269608226273","-16.468275972835478","-14.810970814813029"
2008-09-01,"-3.8689141614614564","-1.040793477225721",,"1.2429587053396141","-9.604399237987904","-9.8775253578390334","-3.4687414893017632","-15.960837206117972","-8.2953213112230806","-2.8528580752050336","-17.132546619821898","-15.377995661989729"
2008-10-01,"-3.9267608634377726","-1.1918827752005368",,"1.4919561302883189","-10.052415492756438","-9.9709067050448787","-3.0950639260966084","-16.408385766793877","-8.4675395263553721","-2.5009107461238078","-17.663249588346353","-15.798909631025214"
2008-11-01,"-3.8083463021702846","-1.1842356357517514",,"1.8542858107243765","-10.26766938301007","-9.9604317736455616","-2.6103065041702345","-16.679087347311629","-8.3401147810823524","-2.0869066697558614","-18.038544506705446","-16.009446373030546"
2008-12-01,"-3.7053829891752765","-1.1956770621941448",,"2.400654883066089","-10.438043944195631","-9.9237026253157339","-2.1686918507645148","-16.827020209960807","-8.2498851052714492","-1.716104248135264","-18.312758033418795","-16.162351576950595"
2009-01-01,"-3.5838332719161925","-1.1895321789384017",,"2.9291906125857636","-10.440483335911976","-9.8783156963554219","-1.710971053685495","-16.993781229674752","-8.0969905390713581","-1.3987140505733131","-18.509593787822453","-16.266096968301113"
2009-02-01,"-3.1564126554705196","-0.90566812568605437",,"3.7997223489957488","-10.100347284982226","-9.5181716552797617","-0.92727439831755687","-16.775580896998687","-7.5649725166988979","-0.65212709011959191","-18.419921551547503","-15.997538546255875"
2009-03-01,"-2.5223808020519045","-0.33116080960360339",,"4.7640258859891649","-9.5699469466427942","-9.0055238434371017","-1.2100014819393934E-2","-16.415314605170817","-6.8997368028376416","0.20367124077269594","-18.01426229598896","-15.538537945192932"
2009-04-01,"-1.7428095470576888","0.40059816536717197",,"5.4741038667283526","-8.6610089765377758","-8.3963462905126462","1.0035712621015547","-15.710187434858359","-6.2224384771224823","1.1676815516163064","-17.292558336847442","-14.807832389582265"
2009-05-01,"-0.71920395070973475","1.5234935936017102",,"5.5946677562517921","-7.2762848674315705","-7.5104541828946436","2.2167149720959012","-14.592506986647679","-5.2905187231184208","2.362360440096567","-16.136086942579396","-13.626815616464782"
2009-06-01,"0.36360827948194174","2.6135762348100888",,"6.2527021370017977","-5.6412589705931886","-6.5232298182103303","3.4368223732087699","-13.229887263018359","-4.2181492208175797","3.5574906214276503","-14.740981601809356","-12.256353095169814"
2009-07-01,"1.2820897713910595","3.5644911253962519",,"7.1408034447615121","-3.9890294427566975","-5.6393737870593874","4.3817605347476141","-11.812161508610707","-3.4056956367409685","4.4591737815922405","-13.31120048178709","-10.925224136257416"
2009-08-01,"2.128716243129114","4.4366202431199042",,"7.6624983011579939","-2.3493060838220003","-4.8626315428112239","5.0972704680489755","-10.4153820321773","-2.6788835383506959","5.1717137476031905","-11.866677080175336","-9.585340548488297"
2009-09-01,"3.0653305022316779","5.4041334428479137",,"8.4449732124484367","-0.68346296225245684","-3.9645746208468946","5.8171799113173828","-8.8858485405680199","-1.8969408407715882","5.8436342062952118","-10.283154297744346","-8.1920293434176514"
2009-10-01,"3.8868238469880856","6.29",,"9.0514529803898736","0.87391548337849567","-3.1983021465377015","6.3233724489700549","-7.4666380436361424","-1.0757328975578351","6.3481812358748169","-8.7217331378265932","-6.8580153320986881"
2009-11-01,"4.5801230007576299","7.0660709288338008",,"9.474095684672367","2.2597603951298728","-2.4943776511476501","6.6496572615295291","-6.1322446319897583","-0.5068342356337463","6.6736534344133736","-7.2453284027854785","-5.6126515854564847"
2009-12-01,"5.1958399261335941","7.6928347022803489",,"9.7403899244103762","3.6276753998528699","-1.8117585927516999","6.8796030558396559","-4.86122841927682","8.4828408231651942E-2","6.8947442067629927","-5.774106299568416","-4.3621572216538285"
2010-01-01,"5.7698211359058504","8.3383754401505037",,"9.8870484207627776","4.8861744696960141","-1.172631167135596","6.9807619404349541","-3.5794719639406392","0.5539414374655216","6.9941344242401504","-4.3586068876105504","-3.1569441562012024"
2010-02-01,"6.0575847907953451","8.647939153532235",,"9.6967569602716353","5.898475670056591","-0.75417591009799834","6.7539314404427842","-2.5756535753778675","0.71142086891087253","6.7646067446259561","-3.2100072731622853","-2.1897349759652851"
2010-03-01,"6.1731409933588832","8.6873548436724022",,"9.3257436038931765","6.6809086943630414","-0.47899801871934544","6.3075455108978273","-1.6878937168236297","0.73775649551310885","6.3164043253768121","-2.2426731060151694","-1.4027874714265254"
2010-04-01,"6.1879119680133376","8.674700941306801",,"8.7878966363425182","7.1894808094230545","-0.27142945130824714","5.6997786400263095","-1.0575009861992002","0.74720664818357374","5.707705925242168","-1.5142569010336615","-0.82912302878195288"
2010-05-01,"6.2220685572418333","8.5327594805423743",,"8.075424683250997","7.4591060484938909","-0.23385473182411243","4.9234543090620697","-0.70070025316958384","0.69119831600523707","4.9304489728605461","-1.0896932365083045","-0.53128681856540183"
2010-06-01,"6.1013954429819162","8.456760618382253",,"7.4121635426230625","7.5746866678451541","-0.27564914077212732","4.1136073677280338","-0.5169225654899301","0.5408964622985124","4.1205480435300146","-0.83365833976116743","-0.37835066424626307"
2010-07-01,"5.9242651268026414","8.3015500780736051",,"6.7032316354344257","7.4487609895974138","-0.42898213917195172","3.262996156627751","-0.54357529350936851","0.42589968153279312","3.2685793541967101","-0.8060521021459377","-0.41316228796036691"
2010-08-01,"5.6784361565382913","8.0738791230210651",,"6.0511335416317591","7.1979417638515342","-0.54245741811785875","2.469132694553311","-0.65886840474999042","0.32643765732931485","2.4742361278459857","-0.87582987832643955","-0.52522673661541397"
2010-09-01,"5.351774771978679","7.8301467737022401",,"5.2056216188723026","6.8487597992673788","-0.7568417244227077","1.6521789240964146","-0.89985838085548941","6.7357670209866605E-2","1.6568083102741049","-1.0818204059120262","-0.75083065897659784"
2010-10-01,"4.9390586272989534","7.4684855112493231",,"4.3941420781868246","6.3822237163728479","-1.0401546855042576","0.86894858482198245","-1.2257141455511822","-0.30776956000929667","0.77529822086834788","-1.385820759308487","-1.0647864722361344"
2010-11-01,"4.4479347881102971","7.0154222871741778",,"3.5536698542293799","5.8302285244994589","-1.4465993234992092","5.6991701897213254E-2","-1.673710268747286","-0.81822501607765608","-3.5986964546474987E-2","-1.8143549448036866","-1.5074314720967319"
2010-12-01,"3.8482159935697924","6.506324961784915",,"2.677495395797469","5.1217897372894949","-1.9786508691648108","-0.79029079979177075","-2.2735864461956634","-1.3725235775971067","-0.88161626766189993","-2.4061021551240458","-2.1107287866620417"
