"MES","BCFP01","BCFP02","BCFP03","BCFP04","BCFP05","BCFP06","BCFP07","BCFP08","BCFP09","BCFP10","BCFP11","BCFP12","BCFP13","BCFP14","BCFP15","BCFP16","BCFP17","BCFP18","BCFP19","BCFP20","BCFP21","BCFP22","BCFP23","BCFP24","BCFP25","BCFP26","BCFP27","BCFP28","BCFP29","BCFP30","BCFP31","BCFP32"
2012-11-01,"46183335.472026691","26514101.976720002","19669233.495306689","13026212.663815387","6642501.1228213012","207.34025","312.36841999999996","65546519.584349051","29509019.326026078","20238438.239803191","9261304.5643028878","2.0765500000000001","9274.4453699999995","34204320.909437805","26248207.575159997","7949066.29775781","10.739930000000001","7036.2965900000017","1833179.3488851602","1272949.8546273101","560226.90740569006","2.5339521599999997","5.2900000000000003E-2","51832542.671271861","35465054.158330008","2333854.4345238516","13956319.577985596","77314.500432400004","278055.89879540005","1492666.1076205254","14401702.108851923","22627379.880698383"
2012-12-01,"50998195.37109445","29304721.410129998","21693473.960964456","14992059.80304026","6700957.1631341977","140.69821999999999","316.29656999999997","68368461.697302699","31647864.333160724","22247917.801435463","9390558.2317152601","2.0765500000000001","9386.2234599999992","34814288.975388534","26997357.585469998","7809963.8185285395","10.740890000000002","6956.8304999999991","1906308.3887534402","1350029.34434154","556277.30202046002","1.6893014399999999","5.3090000000000005E-2","48211459.136793576","30375268.790939998","2456302.4237917494","15307197.724785633","72690.197276199993","278293.16972780006","1477639.0973861564","13793512.622341758","22745868.206415407"
2013-01-01,"48607552.982802227","28012281.894219995","20595271.088582233","13706671.529485133","6888066.9192071008","177.41754","355.22235000000001","68778101.077236354","31694727.615995359","22197599.226077728","9487961.3087276295","2.0765500000000001","9165.004640000001","35059202.423269272","27358043.882289998","7694217.8497092696","10.741850000000001","6929.9494200000008","2024171.0379717199","1458284.9905357698","565885.14949523006","0.84465071999999997","5.3290000000000004E-2","50309894.026347034","35496426.971240006","2476522.4783451003","12264254.379485723","72690.197276199993","284679.66162300011","1464576.4169288932","14397860.601922212","23239979.058869161"
2013-02-01,"48671489.098981112","27306081.07308","21365408.025901113","14130193.807197567","7234567.5899935476","136.71720999999999","509.91150000000005","69233792.385828182","31697248.571542673","22178656.316548858","9509326.2129538171","2.0765500000000001","9263.9654900000023","35476403.757769644","27953160.021820001","7516285.3595196353","10.742810000000002","6947.6336200000005","2060140.0565158597","1494141.8646128848","565997.71607761492","0.42232535999999998","5.3499999999999999E-2","52139921.03557878","36964990.756849997","2491661.8368752236","12610574.128577361","72694.313276199988","284393.11291959992","1438140.6628109191","14617759.337433754","21898180.672650054"
2013-03-01,"48514825.874322891","27228804.140340004","21286021.733982891","14147961.123830048","7137371.4327028394","95.130049999999983","594.04739999999993","69880055.486160561","31558652.703350145","21975654.817213092","9573622.6934670545","2.0765500000000001","9373.1161200000024","36230411.657319717","28829528.415090002","7394117.4684997089","10.74377","6755.0299599999998","2090991.125490688","1541476.2074243079","549514.52651609201","0.33786028800000001","5.3690000000000002E-2","53201776.052207746","36940731.28864","2500751.9852071321","13686986.144434217","73306.633926399998","287328.95321879996","1416643.8905259413","14827436.942885622","21918738.304660566"
2013-04-01,"47830258.328688785","27317810.705010001","20512447.623678785","13275026.747326296","7236732.274192485","98.421330000000012","590.1808299999999","70591917.743031725","31816009.244908877","22178695.961685207","9627554.3647936694","2.0765500000000001","9756.8418799999999","36562290.772279747","29375733.245750003","7179731.9978197441","10.744729999999999","6814.7839799999992","2213617.7258431017","1676679.0099750194","536938.36631033057","0.29562775199999997","5.3929999999999999E-2","56079343.235337488","38553642.07203","2549467.6971195019","14904343.412931984","71890.053255999999","286643.52020200004","1447569.5471736202","14848640.133417534","21115573.521946896"
2013-05-01,"48411897.874234661","27559287.579709996","20852610.29452467","13490684.50587254","7361518.2663521292","101.89207999999999","305.63022000000001","71405186.716482922","31356741.511047609","21671932.355627321","9673342.5925402902","4.0710000000000003E-2","11466.522169999998","37584132.842329785","30649402.924879998","6928141.1182297822","24.465689999999999","6564.3335300000017","2464312.3631055164","1743498.136635731","720813.91892456904","0.25339521599999998","5.4150000000000004E-2","56072400.396804832","37586152.626589999","2559836.0322566326","15854382.121706596","72029.616251599989","288076.89797680004","1338035.3791546673","15303581.178429235","20064921.801887661"
2013-06-01,"50061199.623470552","28006657.39683","22054542.226640552","14844492.367378781","7209361.539861775","229.60497999999998","458.71441999999996","72429980.309164092","32104619.757836342","22364466.173339434","9729350.7400669102","4.07E-2","10802.803730000003","37798831.83395981","31140360.487279996","6651977.2441098168","9.8918300000000006","6484.2107399999995","2526528.7173679299","1802430.9171764425","724097.5346788076","0.21116267999999999","5.4350000000000002E-2","55283686.271634668","34786109.393509999","2677567.8442613324","17747638.697944336","72370.335919000005","289282.59206960001","1312760.509226087","16786402.419880368","18228314.45380317"
2013-07-01,"49361426.799386442","28120126.41474","21241300.384646446","13994810.474405024","7245949.2177014193","229.12437","311.56817000000001","73473865.500575259","33091600.640495073","23319946.110031545","9761439.8639635276","4.07E-2","10214.6258","37885664.57767985","31549971.979439996","6328868.5291998545","9.8926599999999993","6814.1763799999999","2496600.2824003445","1761779.6924171541","734820.36647304602","0.168930144","5.4580000000000004E-2","58207122.878686205","37756592.285589993","2688619.8116823761","17690077.374676436","71833.406737400015","221167.34907460003","1361633.0158988738","17263506.236630395","19795469.567987606"
2013-08-01,"49206397.096282333","28193829.798689999","21012567.297592334","14066550.42619127","6945457.1383510632","248.96156999999999","310.77148","74623302.809276462","33776885.592583805","24029595.851053659","9737102.4399001449","4.07E-2","10187.260929999999","38413651.946109891","32323562.883590002","6083551.7231198903","16.773790000000002","6520.5656100000015","2432765.2705827579","1742974.5110178655","689790.5780772845","0.12669760799999999","5.4790000000000005E-2","61707158.539585806","38250079.308809996","2704753.1282388959","20681237.867689911","71088.234847","219956.50878960005","1336861.4251367729","17490451.205116633","16487040.749080667"
