"MES","AMCM01","AMCM02","AMCM03","AMCM04","AMCM05","AMCM06","AMCM07","AMCM08","AMCM09","AMCM10","AMCM11","AMCM12","AMCM13","AMCM14","AMCM15","AMCM16","AMCM17","AMCM18","AMCM19","AMCM20","AMCM21","AMCM22","AMCM23","AMCM24"
2012-10-01,"  925.675694"," 1290.570825","  364.895131","55868.548657","25452.523821","    7.833308","20350.890879"," 5093.799634","    0.000000"," 1176.748348"," 1176.748348","    0.000000","20153.088788","20153.088788","    0.000000"," 9086.187700","   76.872655","   17.662202"," 8919.690577","   71.962266","56794.224351","56247.292889","  578.394894","  -31.463432"
2012-11-01," 1034.30235"," 1382.18615","  347.88380","56440.42610","26397.59208","   12.76782","21067.69669"," 5317.12757","    0.00000"," 1106.26804"," 1106.26804","    0.00000","20033.16623","20033.16623","    0.00000"," 8903.39976","   77.98694","   17.70931"," 8749.45852","   58.24500","57474.72845","56704.28450","  862.96734","  -92.52338"
2012-12-01,"1062.7471331280001","1365.3612514280001","302.61411829999997","57250.373579551997","27417.319247899999","6.1225643599999993","21688.628944389995","5722.5677391499994","0","976.43502158000001","976.43502158000001","0","19879.76267292213","19879.76267292213","0","8976.8566371498655","78.120362880000016","18.967010100000003","8833.2712710376654","46.497993132200037","58313.120713229997","57555.970459349999","833.35668520999968","-76.206431329999987"
2013-01-01,"1026.1844512860002","1411.3490746860002","385.16462340000004","57951.559083823988","28010.394410269986","10.66247021","21747.280499089986","6252.4514409700005","0","941.67701507000004","941.67701507000004","0","19862.135976423047","19862.135976423047","0","9137.351682060953","78.254248130000008","23.011535210000002","8997.5299219689514","38.555976752000106","58977.743534869995","58212.648410620001","850.28293723000013","-85.187812980000018"
2013-02-01,"1037.0611803240001","1441.3962002140001","404.33501989000001","57523.608812626007","28697.676284240009","18.521086130000004","22401.158114510014","6277.9970836000002","0","964.86090694000018","964.86090694000018","0","18693.497220398098","18693.497220398098","0","9167.5744010479011","78.37555488000001","27.088860219999997","9059.8217598825013","2.2882260654000675","58560.669992980016","57860.359546240012","787.27692580999951","-86.966479069999991"
2013-03-01,"1066.93580176","1471.27082165","404.33501989000001","58230.014541990022","29601.415226350018","18.521086130000004","23234.94663574002","6347.9475044800001","0","962.77394829000013","962.77394829000013","0","18419.941191388101","18419.941191388101","0","9245.8841759619045","78.510296260000004","27.088860219999997","9156.5287425025035","-16.2437230206001","59296.950343760007","58604.760012220002","779.15681060999952","-86.966479069999991"
2013-04-01,"1126.4375681500001","1530.7725880400001","404.33501989000001","58907.42362206","30307.391642620005","18.521086130000004","23879.532851190008","6409.3377053000004","0","1039.0307531800001","1039.0307531800001","0","18331.961514698094","18331.961514698094","0","9229.0397115618998","75.743949120000011","27.088860219999997","9170.3244659225002","-44.117563700599987","60033.861190230011","59314.790802190008","806.03686710999955","-86.966479069999991"
2013-05-01,"1231.74926611","1636.084286","404.33501989000001","59482.47432483999","30851.220515109984","18.521086130000004","24318.639983129986","6514.05944585","0","1123.8236618000001","1123.8236618000001","0","18237.658362228103","18237.658362228103","0","9269.7717857018997","76.185250180000011","27.088860219999997","9228.9955293825005","-62.497854080600007","60714.223590410016","59993.139596420013","808.05047305999949","-86.966479069999991"
2013-06-01,"1190.7381363300001","1595.0731562200001","404.33501989000001","60347.455725800028","30809.644305820028","18.521086130000004","24259.341390330028","6531.7818293600003","0","1985.3534395199999","1985.3534395199999","0","17847.475198518099","17847.475198518099","0","9704.9827819419024","76.298851779999993","27.088860219999997","9666.3777914225029","-64.782721480599946","61538.19386223","60789.500071049995","835.66027024999948","-86.966479069999991"
2013-07-01,"1323.40046037","1727.73548026","404.33501989000001","61042.706162500006","31557.08659960001","18.521086130000004","24989.161982680012","6549.4035307899994","0","1985.6527278199999","1985.6527278199999","0","17710.909086658095","17710.909086658095","0","9789.0577484219011","76.705644290000009","27.088860219999997","9821.3554403525013","-136.09219644059999","62366.106622940002","61680.383053880003","772.69004812999947","-86.966479069999991"
2013-08-01,"2080.0900987900004","2484.4251186800002","404.33501989000001","61049.316254559984","31763.239164879986","18.521086130000004","25043.530428259986","6701.187650490001","0","2288.4975118000002","2288.4975118000002","0","17235.922658428099","17235.922658428099","0","9761.6569194519016","76.811013889999998","27.088860219999997","9827.6076200325006","-169.8505746905999","63129.406353440012","62446.949123160011","769.42370934999951","-86.966479069999991"
2013-09-01,"1970.6027834359995","2374.9378033259995","404.33501989000001","62351.324478064023","32517.457968770028","18.521086130000004","25756.802854750029","6742.1340278899997","0","1986.8299202600001","1986.8299202600001","0","17845.704606328098","17845.704606328098","0","10001.331982705902","77.178753790000002","27.088860219999997","9790.4375941525032","106.62677454339996","64321.927261539997","63630.729357779994","778.16438282999957","-86.966479069999991"
2013-10-01,"2117.5289078060005","2521.8639276960002","404.33501989000001","63622.199582913985","33496.323098539979","18.521086130000004","26757.825918629977","6719.9760937799992","0","1987.1685242999999","1987.1685242999999","0","18095.378917518097","18095.378917518097","0","10043.329042555903","74.326530430000005","27.088860219999997","9728.1147068625032","213.79894504339984","65739.728490740003","65007.3076459","819.38732390999951","-86.966479069999991"
2013-11-01,"2061.6747885720001","2454.6789131420001","393.00412456999993","65468.411171297965","33748.34674092997","8.8425087199999997","26720.240331189972","7019.26390102","0","2447.6990095699998","2447.6990095699998","0","18207.183633552031","18207.183633552031","0","11065.181787245969","74.412735940000019","48.968254439999995","9902.1149891473688","1039.6858077186002","67530.088445299989","66736.915255779997","922.04890383999657","-128.87571431999999"
2013-12-01,"2076.9575017740017","2493.6257243640016","416.66822259000003","66321.195402235928","34114.877073089941","8.4583936099999999","27021.29783808994","7085.1208413900031","0","2761.9677020900003","2761.9677020900003","0","17841.700625016212","17841.700625016212","0","11602.650002039787","74.502036669999967","64.152977220000011","9940.781053789784","1523.2139343600024","68398.152904200018","67594.401109070008","892.40453331999868","-88.652738189999994"
2014-01-01,"2067.0666013000041","2583.7016377400041","516.63503644000002","67149.062973719978","34514.514539169992","10.59598793","26862.568203499992","7641.3503477400009","0","2846.4729501400002","2846.4729501400002","0","17833.809245366683","17833.809245366683","0","11954.266239043309","74.591534980000077","82.358935549999998","10021.871261126515","1775.4445073867942","69216.12956938002","68387.266703370013","945.50171424000007","-116.63884822999999"
2014-02-01,"2095.5919529380039","2605.5306835780038","509.93873064000002","67835.985043042048","34828.907927510038","15.846014899999998","27190.69788346003","7622.3640291500033","0","2800.5351093400004","2800.5351093400004","0","17629.105542417052","17629.105542417052","0","12577.43646377495","74.672603709999976","82.131153339999983","10199.940951644741","2220.6917550802077","69931.576991569993","69177.155104009988","880.02883622999934","-125.60694867000001"
2014-03-01,"2124.0161966079986","2698.1691768779988","574.15298026999994","68378.878585553932","35061.685529109986","10.690931220000001","27424.730776309985","7626.2638215800007","0","2740.9480208","2740.9480208","0","17630.695055799632","17630.695055799632","0","12945.549979844305","74.762497149999973","83.314270150000013","10245.035320526898","2542.4378920174067","70502.894534719991","69777.964935539989","856.34143727000253","-131.41183808999997"
