"MES","BPCC01","BPCC02","BPCC03","BPCC04","BPCC05","BPCC06","BPCC07","BPCC08","BPCC09","BPCC10"
2013-11-01,"7107935.4402675005",9037432.45492,2561478.65423,267559.178,243540.35895,297181.38185,416132.02057,114929.17918,26021.17411,20072209.8420775
2013-12-01,"8422903.8572799992",9215543.45502,2608688.03308,352398.77732,223639.58945,305208.9905,647399.06084,106403.31505,29360.62148,21911545.70002
2014-01-01,"8072339.5224800007",8972040.30056,2647949.17225,316749.50746,210888.06247,325137.20601,562050.43264,99031.65163,31906.36812,21238092.22362
2014-02-01,"7763859.5750499992",8766240.77977,2617276.04062,282559.88434,226782.46719,286421.52781,501514.47663,92851.43564,27011.9162,20564518.10325
2014-03-01,"7704589.4405100001",9239386.31122,2729548.80241,246985.57426,260440.02058,268405.13594,443969.85466,102114.64834,32036.81328,21027476.6012
2014-04-01,"7766350.8790399991",9437953.23054,2488874.85453,235444.45794,252728.01677,277630.10693,423064.44116,89934.91846,31014.54154,21002995.44691
2014-05-01,"7277557.7579099992",10376289.56938,2610063.37579,220375.01287,251316.93595,272648.16736,427780.78106,94627.88858,27096.73786,21557756.22676
2014-06-01,"7682969.93408",10279680.0459,2735619.31505,245222.95775,244774.28182,288154.78823,392902.74662,92767.28006,30530.58407,21992621.93358
2014-07-01,"7220156.2566400003",10014432.65542,2719620.42213,254662.38681,251426.48672,283852.16701,389188.57791,102607.61057,33315.57599,21269262.1392
2014-08-01,"7520050.2051800005",9731209.18793,2811186.21435,238364.76966,242299.37132,293496.17835,398049.29171,114959.39927,31520.72286,21381135.34063
2014-09-01,"8722226.5728399996",10000249.17547,2977169.47682,236784.91555,230420.4533,312373.45939,428259.90951,147927.05793,32077.23948,23087488.26029
2014-10-01,"8915696.41017",10192449.76511,2844724.66535,230071.17514,302578.60798,319687.99514,453905.85833,156866.42404,39724.45925,23455705.36051
2014-11-01,"9101895.54318",11358272.49246,3195634.73936,237802.57093,279326.31501,324810.25655,569110.56383,164674.65205,38803.13791,25270330.27128
2014-12-01,"8885788.2718500011",11665784.25133,3258331.98313,459140.71613,270324.38427,369836.02229,608546.11213,158771.59262,67171.43445,25743694.7682
2015-01-01,"9086383.1801299993",11286454.02814,3215404.08938,409671.16296,246067.47376,398877.8042,555509.67861,126222.22104,52237.53862,25376827.17684
2015-02-01,"8497586.4011700004",11276586.10636,3023607.43185,346264.4705,249687.62951,372192.44036,482960.10695,120589.03701,39616.4997,24409090.12341
2015-03-01,"8648790.8153700009",12116072.45894,3048794.42305,301777.47056,241878.12343,367601.70966,468427.71195,103485.33768,36678.49119,25333506.54183
2015-04-01,"8325069.9252500003",11474819.24768,2761141.40856,345460.69648,241613.86723,364034.44195,449916.27149,111093.346,37089.59753,24110238.80217
2015-05-01,"8383720.14604",11752601.089,2794468.48324,326096.84779,234144.53072,395415.92016,499801.76513,102522.3774,31019.11705,24519790.27653
2015-06-01,"8553829.0929799993",12035106.89827,2851332.49085,291920.96127,217196.21339,453790.67617,437192.373,112455.23402,32129.44382,24984953.38377
2015-07-01,"8009950.6339799995",11210699.51444,2909304.90536,246514.84341,241317.0182,382058.79512,424155.22958,128283.39336,30170.67234,23582455.00579
2015-08-01,"8386477.7708299998",11421166.46876,2908433.93517,240077.18038,213543.5395,376861.7566,443906.81508,117690.99149,33063.46089,24141221.9187
2015-09-01,"8883454.4468499999",12177872.50876,2991225.76994,246761.0761,223706.60169,388213.04777,433070.57396,142591.91695,28923.46351,25515819.40553
2015-10-01,"9219312.9707299992",11626635.00036,3081493.02002,252196.13905,236424.26905,350876.03058,456897.11114,204884.91752,36313.60125,25465033.0597
2015-11-01,"9526824.3560899999",12883112.35365,3235199.98068,375529.06244,232557.25461,336818.34785,425661.89846,198048.44702,33688.87115,27247440.57195
2015-12-01,"10334529.452500001",13095250.52118,3375439.53446,455460.33299,236926.31356,389888.60009,705549.46253,195754.41908,50595.18725,28839393.82364
