"MES","SEPV01","SEPV02","SEPV03","SEPV04","SEPV05","SEPV06","SEPV07","SEPV08","SEPV09","SEPV10","SEPV11"
2006-03-01,"86.204000000000008","176.48145000000002","5930.7823600000002","2106.6823399999994","2017.71549","150.77082999999999","3208.1951800000002","9167.1237700000001","3465.3717099999999","26302.320489999991","52611.647619999989"
2006-04-01,"47.0871","42.423999999999999","2921.7660000000001","2095.3805399999997","1984.3109099999999","119.82116000000002","3171.7629800000004","16809.028109999999","5253.4741599999998","21015.201829999998","53460.256789999999"
2006-05-01,"1625.74927","684.44911000000002","7001.2345000000005","3199.0949599999999","2472.0323700000004","224.48747","3411.8597500000001","17098.132880000001","4501.0258100000001","27306.961260000011","67525.027380000014"
2006-06-01,"1575.59413","931.61580000000004","5677.1260000000002","2878.37347","2839.7978499999995","115.66532000000001","4375.7743099999998","19057.157950000001","5673.5606300000009","29528.035980000008","72652.701440000004"
2006-07-01,"2369.5655000000002","1935.1278200000002","7560.7132000000001","2625.5407799999998","3627.2448199999994","248.76293000000007","3861.4085099999998","19523.24109","5426.9259399999992","29614.597450000008","76793.128040000011"
2006-08-01,"2180.0107000000003","1586.7687800000001","8576.0702200000014","2380.9375800000003","3301.9733199999996","313.64436999999998","5743.0226700000003","15621.977760000002","6216.5438500000009","33667.186740000005","79588.13599000001"
2006-09-01,"1212.64408","1744.9688799999999","7424.29288","2041.5521300000005","3738.7988700000001","177.02454","5915.7830500000009","14591.557059999999","3025.3173899999997","38583.336129999996","78455.275009999998"
2006-10-01,"4697.5801000000001","1782.60142","6179.4693900000002","2427.0098799999996","3870.6533200000003","337.55577000000005","7172.0440300000009","13567.489880000001","7422.9976799999995","39758.944369999997","87216.345839999994"
2006-11-01,"1025.6980000000001","1459.9771599999999","5446.8385099999996","2192.8633099999997","4304.5373200000004","280.06069999999994","5792.5217499999999","12860.37168","4577.2295700000004","34381.262099999985","72321.360099999991"
2006-12-01,"1208.4765","1985.9238400000002","4296.7288499999995","2194.0677799999999","4991.7722000000003","240.80341000000001","2849.7522200000008","10192.719500000001","3167.7075299999997","37242.620679999993","68370.572509999998"
2007-01-01,"593.673","1521.47615","4860.5770000000002","2120.5052900000001","4505.6435599999995","188.03627000000006","3326.7932799999999","15176.62766","3053.0669800000001","28574.778339999997","63921.177530000001"
2007-02-01,"509.94299999999998","924.84879000000001","3146.39752","1962.76037","5319.7307799999999","147.67286000000004","2917.7469300000002","5103.4538600000005","2681.0353500000006","25315.468809999991","48029.058269999994"
2007-03-01,"1318.9049","929.18524000000002","2988.29","2743.3516999999997","5344.0485800000015","397.94126","5124.2475400000003","6040.4930299999996","5533.6288600000016","29430.524479999996","59850.615590000001"
2007-04-01,"2570.9845","237.56129999999999","5429.9573600000003","2700.3271100000002","3749.8380000000006","295.37536999999998","2441.3718400000002","11267.71911","4100.8665499999997","29018.620110000003","61812.621250000004"
2007-05-01,"736.87599999999998","545.86876000000007","6174.7355500000003","2599.45444","4223.9796499999993","223.16090000000003","3057.5317599999998","20720.559639999999","10028.36096","25605.945159999996","73916.472819999995"
2007-06-01,"2009.905","886.82864000000006","6103.7055600000003","2741.3336899999999","5327.7591200000006","495.37824000000001","3157.4741699999995","26283.597149999998","12314.02743","25436.577750000011","84756.586750000017"
2007-07-01,"1933.9580000000001","1346.17732","6858.5134000000007","2369.8925999999997","5142.0391","759.31768999999997","4875.2975500000002","28055.73229","14033.285180000001","27958.231719999989","93332.444849999985"
2007-08-01,"2232.1444999999999","1580.1564100000001","7384.7252800000006","2441.2470300000004","6255.8976300000004","906.71643000000017","6537.5399299999999","21420.378799999999","6941.6208299999989","33674.720840000009","89375.147680000009"
2007-09-01,"816.11869999999999","1705.6871899999999","8532.1970899999997","2240.6489000000006","5757.3537000000006","867.89701000000014","7182.8322600000001","17579.241729999998","10057.580670000001","37100.563709999995","91840.12096"
2007-10-01,"4426.8654200000001","1356.3541499999999","6844.6847800000005","2547.4773299999997","6852.2797600000013","722.43178","7292.7312400000001","13128.907319999998","5944.9588400000002","43842.932429999993","92959.623049999995"
2007-11-01,"3098.8724000000002","1595.2767800000001","5213.7849900000001","2150.8016699999998","6538.7751800000005","765.31560999999988","5370.8542600000001","10748.20336","13443.039940000001","48021.573550000001","96946.497740000006"
2007-12-01,"2716.8719999999998","1143.35996","7119.1674000000003","2713.7806300000002","7610.9707899999985","367.7271100000001","2164.6467900000002","15353.47782","4623.1948899999998","59448.521670000002","103261.71906"
2008-01-01,"3042.40022","1225.9660000000001","4744.9256399999995","2019.412440000001","5969.2449499999993","278.39424000000008","2715.7702300000001","19559.053230000001","8439.5726299999988","49225.233390000009","97219.972970000003"
2008-02-01,"3062.3906000000002","439.96444000000002","3779.7242900000001","1800.7496899999996","5744.7146999999995","252.6876400000001","2591.4841900000001","16897.34736","6679.7008799999994","49817.41059","91066.174379999997"
2008-03-01,"4879.5536500000007","401.43233000000004","5185.2634600000001","2514.8429699999997","5872.2477099999978","586.63379999999984","2835.1019300000003","5780.3702799999992","8950.7320099999979","57779.498880000006","94785.677020000003"
2008-04-01,"1210.5630000000001","58.800000000000004","5806.1555800000006","1625.3285599999997","4663.76631","435.83353000000005","4871.5700400000014","24559.07215","965.32292999999993","38900.353019999988","83096.765119999996"
2008-05-01,"610.13750000000005","61.222000000000001","7148.8950800000002","2511.2175099999999","5577.9292000000005","491.74798999999979","1443.8597400000001","29953.090680000001","11845.935879999997","34934.867209999989","94578.902789999993"
2008-06-01,"1458.39","743.96741000000009","10871.621000000001","2578.2187999999996","5569.1107699999993","281.95433999999983","4363.8003900000003","20418.297409999999","11502.3817","49109.906320000009","106897.64814"
2008-07-01,"3018.1424999999999","1738.14048","9764.0195000000003","1856.4640699999998","6501.5612099999998","562.80835000000036","830.50476000000026","32782.953260000002","14778.88344","50046.478019999995","121879.95559"
2008-08-01,"5215.9565000000002","1601.3276000000001","9080.3493300000009","1617.2049999999999","6992.7072100000014","638.44416999999999","2430.1700699999992","26772.824960000002","14790.214449999999","47450.222569999984","116589.42185999999"
2008-09-01,"4289.1755999999996","2166.4501","8362.5146600000007","1551.6891300000002","4884.0688","443.79518999999993","1337.4175899999998","16647.25621","9917.6745300000002","40560.438379999992","90160.480190000002"
2008-10-01,"8866.2730700000011","1970.2737199999999","9595.3853799999997","2379.9368199999999","7273.0839400000004","626.52021000000002","178.58465000000038","21300.291239999999","7432.7063500000004","67705.462079999998","127328.51746"
2008-11-01,"6377.9769999999999","1955.15329","6076.1725400000005","892.18217000000004","6356.9603599999991","254.77556999999985","147.57277000000002","10458.29896","6673.7886099999996","79944.857189999995","119137.73845999999"
2008-12-01,"7713.0463","1536.2558100000001","3115.03262","1237.9976899999999","6847.3280700000005","260.32373000000001",,"7711.9933099999998","4802.6411400000006","35639.425999999999","68864.044670000003"
2009-01-01,"3114.88","1847.6076699999999","3910.6844800000003","634.56891000000007","4428.0228499999994","237.03566999999993","39.318179999999934","5840.2809699999998","4621.4543300000005","39581.922149999999","64255.77521"
2009-02-01,"2699.7660000000001","1129.8015800000001","2652.7402200000001","630.20483000000013","4355.8516200000004","264.83186000000012","229.38414999999992","12362.981040000001","5714.7966299999989","33344.285559999997","63384.643489999995"
2009-03-01,"2164.9850000000001","499.19868000000002","4277.6643500000009","1068.77784","6561.5626300000013","145.37452999999991","299.50548000000043","13999.15537","6926.5406199999998","41758.984029999992","77701.748529999997"
2009-04-01,"3524.8879999999999","291.47381999999999","2603.6921399999997","523.59987999999998","4812.1601000000001","119.03668999999995","36.192189999999947","15538.174870000003","5016.57539","29900.802029999992","62366.595109999995"
2009-05-01,"1641.3440000000001","339.02272999999997","6088.9860599999993","689.77526000000012","4611.5807299999997","146.75110999999981","202.91200000000001","33670.331809999996","10724.955899999999","36223.754970000009","94339.414570000008"
2009-06-01,"1998.7009399999999","748.56961999999999","7679.9386399999994","946.15949999999998","3811.6113300000006","193.67781999999994","248.51154000000005","46176.56583","14041.224600000001","31765.760510000007","107610.72033000001"
2009-07-01,"7163.3595000000005","966.25517000000002","6986.9875199999997","852.63282000000004","4258.9178000000002","334.12170999999972","69.090690000000407","47763.852010000002","16124.05493","35869.33590999998","120388.60805999998"
2009-08-01,"9437.0808000000015","1809.66689","5839.07582","1156.0358899999999","5377.2778900000003","421.97314999999946","74.114759999999777","50458.212850000004","23969.40352","34980.153460000001","133522.99502999999"
2009-09-01,"12162.2628","1490.7619","5478.5921200000003","1630.5529600000002","5559.0503899999994","332.73070000000018","82.797589999999857","41322.792820000002","20164.48402","47780.83627","136004.86157000001"
