"MES","BPCR01","BPCR02","BPCR03","BPCR04","BPCR05","BPCR06","BPCR07","BPCR08","BPCR09","BPCR10"
2013-07-01,"19247015.303739443",24381279.43221,10434323.33571,1594956.58301,1235084.4404,2428415.07895,2409324.66043,1376683.3685,577960.68874,63685042.8916894
2013-08-01,"19546140.392090578",24595943.99624,10583830.74775,1616494.942,1269718.04701,2460264.69014,2438832.25178,1401871.95661,597502.01735,64510599.0409706
2013-09-01,"19849443.36281674",24694169.85862,10719107.17748,1657053.01137,1305668.60727,2471887.82492,2493205.18582,1433418.70473,607664.33172,65231618.0647467
2013-10-01,"20225470.891799401",24817268.43649,10926571.21333,1696023.41819,1345681.85868,2540485.10985,2563140.49963,1456599.90992,627452.60226,66198693.9401494
2013-11-01,"20655559.009247877",25419023.05016,11190729.00131,1730080.03963,1381798.11263,2593313.19371,2645823.79677,1497239.99636,645292.46784,67758858.6676579
2013-12-01,"20860541.650290612",25522848.92966,11304150.97201,1741332.78114,1409694.73703,2630648.45133,2700679.42684,1525558.87605,658743.41231,68354199.2366606
2014-01-01,"20707533.067332972",25013318.26268,11279519.73309,1732595.67566,1448962.30501,2618275.06278,2740485.70808,1519945.85712,666757.47816,67727393.149913
2014-02-01,"20843660.046755657",25031287.04673,11390758.99015,1752545.97414,1476625.21894,2664334.4919,2785437.44259,1529168.6179,679738.92558,68153556.7546856
2014-03-01,"21106890.196719289",25446156.09173,11538754.44838,1790936.46056,1500178.77277,2699776.68174,2825921.22365,1559553.63124,690589.66068,69158757.1674693
2014-04-01,"21423811.01100802",26577800.29592,11921362.00305,1824926.13704,1523336.05493,2752440.0071,2877805.26947,1592533.18008,709029.01024,71203042.968838
2014-05-01,"21699420.617482841",27364035.08148,12218756.82583,1826995.08662,1544038.02734,2807514.68619,2932575.58875,1617744.7892,726575.28936,72737655.9922528
2014-06-01,"21963889.311978653",27528328.8243,12482540.70102,1845506.5233,1558783.78812,2836109.38495,2980748.28286,1626281.86321,741111.05134,73563299.7310786
2014-07-01,"22440667.997503325",29790687.35423,13759250.04993,1947720.1983,1715172.60538,3006253.35123,2988859.32008,1697313.02508,766768.74685,78112692.6485833
