"MES","BCBA01","BCBA02","BCBA03","BCBA04","BCBA05","BCBA06","BCBA07","BCBA08","BCBA09","BCBA10","BCBA11","BCBA12","BCBA13","BCBA14","BCBA15","BCBA16","BCBA17","BCBA18"
2003-06-01,"10295380.968999999","11301292.857999999","1005911.889","1042774.176","0","8972162.1779120006","8972162.1779120006","0","0","0","23945192","23168069",,"245944","531179","0","4617202.8635599976","48872712.186471999"
2003-07-01,"10667251.419000002","11725822.892000001","1058571.473","1046868.839","0","9048185.5317860004","9048185.5317860004","0","0","0","23996608","23231047",,"246903","518658","0","4307331.5800529988","49066245.369839005"
2003-08-01,"10796382.067","11762980.254000001","966598.18700000015","1066861.74","50219.183456699997","9190528.2406179998","9190528.2406179998","0","0","0","24008415","23266282",,"248182","493951","0","4385191.6625410002","49497597.8936157"
2003-09-01,"11365054.496000001","12365798.347000001","1000743.851","1069629.2150000001","45808.3593884","9095266.1615339983","9095266.1615339983","0","0","0","23927230","23370402",,"248822","308006","0","4548866.9582369979","50051855.190159403"
2003-10-01,"10224814.060999999","11331481.142999999","1106667.0819999999","1072396.69","46007.860042499997","8959464.8392168991","8959464.8392168991","0","0","0","23952384.990940001","23245088",,"249462","457834.99093999999","0","4545292.473100001","48800360.914299391"
2003-11-01,"10266651.018999999","11352386.083999999","1085735.0649999999","1075164.166","44567.939892000002","9028668.0533659998","9028668.0533659998","0","0","0","23924950.184308793","23228952.184308793",,"250101","445897","0","4907199.2975149993","49247200.660081789"
2003-12-01,"11642883.901000001","12826275.326000001","1183391.4249999998","1082082.8540000001","43960.998880200001","9045069.9141559992","9045069.9141559992","0","0","0","23852010","23169558",,"251700","430752","0","5291184.1547520002","50957191.822788201"
2004-01-01,"10968182.874000002","12024849.470000001","1056666.5959999999","1084850.3289999999","42966.775823999997","9191033.2287176009","9191033.2287176009","0","0","0","23450585.687010556","22899156.687010556",,"252340","299089","0","5396898.5192691339","50134517.413821295"
2004-02-01,"10402840.744999999","11460341.722999999","1057500.9779999999","1086234.067","42858.968027499999","9373594.0071100015","9373594.0071100015","0","0","0","23321106.01436951","22777661.01436951",,"252659","290786","0","5124184.6572107021","49350818.458717711"
2004-03-01,"10859995.385","11940398.59","1080403.2050000001","1090385.28","78451.0782492","9364801.8839039989","9364801.8839039989","0","0","0","23289282","22748201",,"253619","287462","0","5015899.4237274062","49698815.050880611"
2004-04-01,"9814631.2489999998","10822449.231000001","1007817.9820000001","1091769.0179999999","75983.714137799994","9512493.8078620005","9512493.8078620005","0","0","0","23394176","22877450",,"253939","262787","0","4997778.4874909753","48886832.276490778"
2004-05-01,"10510145.897000002","11492591.282000002","982445.38500000001","1093152.7549999999","76343.305523999996","9370724.1278199982","9370724.1278199982","0","0","0","23261396","22732607",,"254258","274531","0","5063610.3135985415","49375372.398942545"
2004-06-01,"9511326.1390000004","10673526.630000001","1162200.4909999999","1095920.2309999999","75992.862686399996","9676782.4297359996","9676782.4297359996","0","0","0","23124223","22597156",,"254899","272168","0","4616480.9711696785","48100725.633592084"
2004-07-01,"10098328.896","11137446.25","1039117.3540000001","1097303.9680000001","73584.123880800005","9546569.102013899","9546569.102013899","0","0","0","22962891.951596446","22452348.951596446",,"255218","255325","0","4537460.8254562458","48316138.866947398"
2004-08-01,"10920366.455","12009535.137","1089168.682","1101455.1810000001","71729.867603999999","9819505.9092736002","9819505.9092736002","0","0","0","22864272.594680816","22362161.594680816",,"256178","245933","0","4366479.0900079487","49143809.097566366"
2004-09-01,"11931925.488","13286228.057","1354302.5689999999","1125090.3570000001","66502.899027599997","9888339.5850482006","9888339.5850482006","0","0","0","22727823.570708923","22247549.570708923",,"256817","223457","0","4206651.0824630838","49946332.982247815"
2004-10-01,"12174200.98","13525581.578","1351380.598","1129320.02","58729.760870400001","10020920.056358","10020920.056358","0","0","0","22486548","21998921",,"257776","229851","0","4267545.0132627878","50137263.830491185"
2004-11-01,"12839010.03584649","14264570.469846491","1425560.4340000001","1130729.9069999999","60635.460143800003","9970752.5723160002","9970752.5723160002","0","0","0","22421782.184418313","21935902.911446154",,"258097","227782.2729721576","0","4345127.2567994781","50768037.416524075"
2004-12-01,"12929007.981000001","14412096.534","1483088.5530000001","1133549.683","121290.4945764","10171087.098412","10171087.098412","0","0","0","22846658.734883253","22360488.734883253",,"258736","227434","0","4233224.9356444916","51434818.927516147"
2005-01-01,"12601682.479999997","13913790.608999997","1312108.129","1134959.57","121270.52899999999","9928894.0711899996","9928894.0711899996","0","0","0","23558725.000000004","23066638.570000004",,"259055.96","233030.47","0","4182577.1158290575","51528108.766019054"
2005-02-01,"12824027.757443478","14141251.221637279","1317223.4641938007","1136369.45799","118981.95172500001","10009408.0254618","10009408.0254618","0","0","0","23519054.853614978","23032194.222967468",,"259375.76527385745","227484.86537365365","0","4188388.3935907288","51796230.439825982"
2005-03-01,"12924368.890467269","14179787.07837127","1255418.1879039998","1162823.2333200001","118240.9017576","9707968.4735120013","9707968.4735120013","0","0","0","23651209.29880647","23158451.030723356",,"260015.39271056678","232742.87537254603","0","4103125.0882049222","51667735.886068255"
2005-04-01,"13842165.250308471","15159305.653352071","1317140.4030436","1162823.2333200001","195024.29319600001","9964799.2353828028","9964799.2353828028","0","0","0","23916541.649587665","23436800.972354554",,"260015.39271056678","219725.28452254605","0","4105964.6774277235","53187318.339222662"
2005-05-01,"13816120.115558472","15055115.195758471","1238995.0802000002","1162823.2333200001","174906.00914479999","9742738.8494848013","9742738.8494848013","0","0","0","24147888.320438068","23660880.012184955",,"260015.39271056678","226992.91554254602","0","4020067.0742985229","53064543.602244668"
2005-06-01,"14216614.922729673","15394010.620013272","1177395.6972836002","1162823.2333200001","154642.11702960002","10053032.802983828","10053032.802983828","0","0","0","24005886.126173671","23554805.010240559",,"260015.39271056678","191065.72322254605","0","4170136.9342776849","53763136.136514455"
2005-07-01,"15171964.805743782","16249297.110800283","1077332.3050565005","1158505.8203250002","150747.70531100003","9913601.6312709898","9913601.6312709898","0","0","0","24017417.002816208","23566801.924741499",,"258055.95155550278","192559.12651920738","0","4063176.0349372015","54475413.000404179"
2005-08-01,"16267691.576624189","17330490.029110488","1062798.4524862999","1155627.5449949999","89291.715118099994","9825736.4288988672","9825736.4288988672","0","0","0","23938238.758484554","23487064.031445447",,"255989.32411879345","195185.40292031498","0","3958001.5573091861","55234587.581429891"
2005-09-01,"17031608.306512091","18017239.943037692","985631.63652559964","1154188.4073299998","89014.939512799989","9889871.7911514677","9889871.7911514677","0","0","0","24032145.098873869","23581294.870027561",,"253341.5104004388","197508.71844586873","0","3920892.4918212104","56117721.035201438"
2005-10-01,"18364626.764057297","19252737.077127296","888110.31306999992","1151310.132","88759.801599999992","9845576.354134623","9845576.354134623","0","0","0","24090225.235555265","23637786.038416207",,"253045.33170208414","199393.86543697634","0","3987968.6647315491","57528466.95207873"
2005-11-01,"19497179.023047298","20335003.352447297","837824.3293999997","1151310.132","142187.64336000002","9749858.8012542725","9749858.8012542725","0","0","0","24039873.159745265","23592813.797246207",,"252900.33170208414","194159.03079697632","0","3793275.8296320052","58373684.589038841"
2005-12-01,"19469392.103092857","20278909.993672855","809517.89057999989","1151310.132","141951.9296","10249182.082939222","10249182.082939222","0","0","0","24092585.387699246","23634596.2865308",,"250960.40919407678","207028.69197436841","0","3285690.9945734423","58390112.629904769"
2006-01-01,"20253569.390492849","20488724.37875285","235154.98826000001","1151310.132","1430492.0931200001","7839204.9652115274","7839204.9652115274","0","0","0","24064378.442259237","23614969.993320793",,"250701.36719407677","198707.08174436842","0","3870526.7765651084","58609481.799648717"
2006-02-01,"20921497.598001394","21149890.657635696","228393.05963430001","1149870.9943349999","1427619.2455362","7758194.9109456502","7758194.9109456502","0","0","0","23939002.207968123","23492823.796805054",,"250389.67406793419","195788.73709513794","0","3790298.634189676","58986483.590976037"
2006-03-01,"22140534.595905989","22331539.08887649","191004.4929705","1146992.7190050001","1424065.4522139002","7495850.7939500222","7495850.7939500222","0","0","0","23961654.112412535","23515447.46623021",,"249766.28781564898","196440.35836667701","0","3593668.89357414","59762766.567061588"
2006-04-01,"23192079.28381424","23444714.683084641","252635.39927039997","1145553.5813400003","1471179.4299827998","7522424.0341573767","7522424.0341573767","0","0","0","24165793.382411323","23723531.687927198",,"249163.59629828151","193098.09818584533","0","3780599.1875180844","61277628.899223827"
2006-05-01,"24054186.119815059","24273950.899028659","219764.77921359998","1168836.5813400003","1472543.7469187998","7590392.7004870428","7590392.7004870428","0","0","0","24405337.811128937","23964770.866894811",,"242829.36129828152","197737.58293584536","0","3646509.7049804716","62337806.664670311"
2006-06-01,"24364782.185156267","24615571.703316666","250789.51816039998","1168836.5813400003","1470815.6720719999","7752696.8569286857","7752696.8569286857","0","0","0","24385670.148929346","23947347.169995219",,"242829.36129828152","195493.61763584535","0","3532895.7591106361","62675697.203536935"
2006-07-01,"25862910.858236596","26084058.638364997","221147.78012839999","1168836.5813400003","1471144.9910428","7709938.1211347971","7709938.1211347971","0","0","0","24690666.691086739","24248533.63000327",,"241535.19917762341","200597.86190584538","0","3520796.4143203353","64424293.657161266"
2006-08-01,"27106703.176782951","27293916.243746951","187213.06696400003","1167368.1936750002","1451040.2161050001","7747553.4346994078","7747553.4346994078","0","0","0","24786163.329655439","24344957.584255695",,"241225.49745915906","199980.24794058673","0","3497061.6274978495","65755889.978415646"
2006-09-01,"28266252.239539448","28488304.641136449","222052.40159699999","1167368.1936750002","1450892.5140089998","7696747.7927442919","7696747.7927442919","0","0","0","24949839.084618371","24517717.8606757",,"235660.58466208409","196460.63928058674","0","3783549.5629934501","67314649.38757956"
2006-10-01,"29234129.02234295","29446826.447966952","212697.42562400002","1167368.1936750002","1398402.0789315","7717708.393869821","7717708.393869821","0","0","0","24952402.633806862","24519639.311514191",,"235660.58466208409","197102.73763058672","0","3598161.3142756824","68068171.636901826"
2006-11-01,"30786156.196700949","30933769.807282448","147613.61058149999","1167368.1936750002","1398550.176063","7777462.8898563897","7777462.8898563897","0","0","0","25038444.779296864","24615430.529144194",,"235660.58466208409","187353.66549058675","0","3487141.700907947","69655123.936500147"
2006-12-01,"31564801.173988752","31766046.122829251","201244.9488405","1164431.4183450001","1394996.8377163","7906891.3028721102","7906891.3028721102","0","0","0","25169735.71541037","24751735.290758673",,"233449.27272577694","184551.15192592324","0","3187180.596232472","70388037.044565007"
2007-01-01,"32854918.28672016","33059738.71379786","204820.42707769998","1161494.643015","1462035.4806049999","7941462.2277905503","7941462.2277905503","0","0","0","24908084.170453873","24500282.482349504",,"227359.8690694698","180441.81903489944","0","3297371.1507977084","71625365.959382296"
2007-02-01,"34142820.398590073","34347203.769054376","204383.37046429998","1158557.8676849999","1460612.4809016001","8007012.5094313435","8007012.5094313435","0","0","0","24974989.828327425","24568985.095399667",,"226116.0021438832","179888.73078387568","0","3148636.6573839453","72892629.742319375"
2007-03-01,"35455954.703394376","35618627.448316276","162672.74492189998","1158557.8676849999","1460325.9078171002","7675918.7962058075","7675918.7962058075","0","0","0","25251321.930622581","24849505.059580233",,"223231.17581847188","178585.69522387566","0","3199876.9956211913","74201956.201346055"
2007-04-01,"36766897.259553678","36923981.808736578","157084.54918290002","1158557.8676849999","1513295.9949210002","7752624.3277332969","7752624.3277332969","0","0","0","25663504.851761166","25262810.73369769",,"222450.17581847188","178243.94224500182","0","3062287.3963546674","75917167.698008791"
2007-05-01,"37624431.10805779","37773207.586243391","148776.47818559999","1155621.0923550001","1574738.8193877998","7859327.0758130345","7859327.0758130345","0","0","0","26015279.274466563","25616667.871350322",,"221884.31732463549","176727.08579160515","0","2809318.9169872929","77038716.287067488"
2007-06-01,"37776995.043539681","37792875.473332182","15880.42979250001","1152684.317025","1566654.0718135","8030282.3426459795","8030282.3426459795","0","0","0","26347073.637280397","25947859.002539597",,"221318.45883079903","177896.17590999999","0","2521237.5826848485","77394926.994989395"
2007-07-01,"38970930.067817934","39023958.800843835","53028.733025900001","1162537.815705","1554092.9738775","7985313.0885434356","7985313.0885434356","0","0","0","26416457.392866582","26021270.826036323",,"218898.77257026135","176287.79426","0","2484838.6596334651","78574169.998443902"
2007-08-01,"40109781.482583657","40144966.520628959","35185.038045299996","1153560.6897150001","1545507.7860866999","8212408.8985902993","8212408.8985902993","0","0","0","26466388.324852221","26075011.020622429",,"218224.62377979411","173152.68044999999","0","1824916.1795136512","79312563.361341521"
2007-09-01,"42197119.555337362","42249091.58815106","51972.032813699996","1153560.6897150001","1503022.5740993998","7861584.4659962002","7861584.4659962002","0","0","0","26875501.144202214","26484205.88770242",,"218224.62377979411","173070.63271999999","0","1796837.6383631791","81387626.06771335"
