"MES","AMAM01","AMAM02","AMAM03","AMAM04","AMAM05","AMAM06","AMAM07","AMAM08"
2010-03-01,"23935776.493269999","29739619.144309998","36413815.775089994","53168961.842659995","45017102.54095","75801991.178435817","48829508.253861077","79640519.891346902"
2010-04-01,"23333191.175939996","29250893.768459998","35757119.917149998","52653923.143259995","44590447.788749993","75489958.072085798","48260945.847089887","79187276.690425694"
2010-05-01,"24512104.756539993","30168744.834829994","37012704.675259992","53583891.153629996","45925982.190969989","76400379.196205795","49745307.320216142","80246525.325451955"
2010-06-01,"24569067.452020001","30283664.809700001","36725697.21745","53175173.068160005","45859443.133189999","76245807.986855805","49246516.419540957","79659840.813206762"
2010-07-01,"24824967.083890002","30532648.274700001","36890599.79005","53261222.453219995","46199986.610980004","76400320.739171699","49547858.916992821","79775849.445184514"
2010-08-01,"24776480.404599994","30370906.168759994","37004685.929349996","53399874.287899993","46660210.479460001","76739858.4150417","49933409.785002217","80040366.210583925"
2010-09-01,"24862942.7447","30638255.551230002","37213692.656879999","53931013.561499998","47591798.710429996","77909656.590051681","50662654.710429996","81007472.130051687"
2010-10-01,"25656465.09708","31432455.952239998","38004663.978439994","54857240.814149991","48604681.894099995","79031253.344311699","51612659.753708005","82066888.143919706"
2010-11-01,"26523335.722550001","32446696.645369999","39610819.179509997","56152299.735579997","50820016.279789999","80669947.125235602","53735194.790146828","83588605.771592438"
2010-12-01,"31889947.754156999","37244249.848436996","45856079.524723999","59795511.458582997","57454427.966956995","84382319.451325387","60415124.543228172","87345792.054996565"
2011-01-01,"30625673.592200495","36107670.750495493","44485074.809530988","58687643.064259492","56197416.765575491","82889439.219886392","59285755.98580043","85979860.438401327"
2011-02-01,"30614212.861374002","36176139.365153998","44822683.331367999","59235820.405369997","56743340.815044001","83427637.274061203","59748006.435012713","86435762.962490916"
2011-03-01,"30579820.453317497","36007887.858862504","45088180.412475005","59541201.579582512","57302906.324502505","83789583.382918","60585032.711373091","87075849.783403486"
2011-04-01,"29954875.936120998","35705659.998255998","44291512.435631998","59122959.015164003","56677222.556961","83340470.766056895","60489554.880213007","87156937.092923805"
2011-05-01,"30189594.596744493","35823089.207131997","44633457.365458995","59524701.501433","57346372.469599493","83937181.505270392","61225931.425448798","87820185.509192362"
2011-06-01,"31304695.453921501","37107661.088871501","46695558.556473002","61813096.3137355","59931655.113906495","86598864.085806787","63984674.388264611","90656011.371026665"
2011-07-01,"31423747.251936302","37470887.397171803","46651134.666318595","62057621.591589995","60606330.807841301","87368913.461776987","64549535.033603393","91316239.776771575"
2011-08-01,"32277966.441108502","38190646.566401005","48350399.559737012","63418020.179720014","62970200.784663513","89265105.444513202","66655933.889611565","92953586.575308874"
2011-09-01,"32551186.280851997","38309584.206441998","49281078.088473998","64177645.165149994","64816333.170691997","90730336.469661698","68451428.552199304","94367473.753139496"
2011-10-01,"33253313.803415496","39034533.150743","49800567.283510998","64705949.370799996","65986414.811580494","91773681.273110196","69686643.328016445","95475283.821221054"
2011-11-01,"34233064.460818999","40078367.743339002","51236908.209207997","66284820.864516996","68351043.767889008","94331776.453910634","72322972.887628734","98303705.57365036"
2011-12-01,"37092335.620642498","42821419.856407501","55353680.058144994","70469611.502287507","73285814.205467477","99315127.231421575","77322319.426756561","103351632.45271066"
2012-01-01,"36302490.735385999","41830996.366526","53768310.747221999","68731166.633367985","72759885.327406004","98516216.726672605","76712053.833262354","102468385.23252895"
2012-02-01,"36223958.792839497","41892954.9962245","53718156.413968995","68818232.481828496","73662106.491164505","99348577.483573571","77727453.038710177","103413924.03111924"
2012-03-01,"36349284.561292998","42329142.218823001","54420469.049176","69920000.598329008","75524658.548443004","101337788.42402461","79643097.594982758","105456227.47056438"
2012-04-01,"36169348.14182651","42657988.702971511","54224223.472053014","70198776.502709508","75914403.555721506","101809097.96681561","80111369.456531495","106006063.86762559"
2012-05-01,"36674820.8967852","43324360.499359198","54872685.765114397","71002295.431883603","77511756.444565207","103184349.92379981","82008677.377215445","107681270.85645007"
2012-06-01,"37521500.169133902","43964826.877606906","56474076.854195803","72379452.228597715","79939328.10188891","105188576.13203403","84223577.208259404","109472825.23840453"
2012-07-01,"36808320.116532601","42964016.179094605","55831876.801307209","71440516.676051825","80217055.787912607","105021327.88811821","84875956.090003356","109680228.19020897"
2012-08-01,"37475584.248851299","43834697.136902303","56810133.807378598","72515670.655105904","81881658.801056296","106556103.93956241","86288972.169857308","110963417.30836342"
2012-09-01,"38246276.917995647","44480472.935211144","57443197.556624293","73115184.479007944","83296332.913633123","107786725.68228948","87250927.197154373","111741319.96581073"
2012-10-01,"38763625.375960521","45447778.206228927","58046523.977451436","74134415.856130362","84666848.506894514","109403853.75698093","88833150.555454507","113570155.80554092"
2012-11-01,"39540627.008955382","46183335.472026683","59788339.694128573","75692354.798052773","87316533.473405883","111729855.05637574","90996456.359295875","115409777.94226575"
2012-12-01,"44297097.509740263","50998195.371094458","66554401.534635723","82646059.704255193","94908745.348037273","119366657.06839718","98092874.448477268","122550786.16883717"
2013-01-01,"41719308.646055132","48607552.982802235","63926072.876772858","80302280.59879759","92749331.752308622","117385654.06003857","95996821.520178616","120633143.82790856"
2013-02-01,"41436784.791777566","48671489.09898112","63624705.073816419","80368737.670523793","93078954.647369295","117905281.48480926","96753209.977819294","121579536.81525926"
2013-03-01,"41377359.311570048","48514825.874322891","63362387.24490314","80073478.577673048","93740146.951067463","118394881.36048345","97659881.187397465","122314615.59681346"
2013-04-01,"40593427.633166298","47830258.328688778","62781880.43673151","79646267.573597685","93841107.530366525","118422176.07172053","97754858.005866528","122335926.54722053"
2013-05-01,"41050277.715802543","48411897.874234676","62733676.593599863","79768639.385282278","95133142.042795584","119817084.59071757","99912480.323575586","124596422.87149757"
2013-06-01,"42851608.478628777","50061199.623470552","65226877.455698214","82165819.381306916","98176153.125244647","122491179.93263464","102386368.24089465","126701395.04828463"
2013-07-01,"42115248.457315028","49361426.799386449","65445409.193146572","82453027.439881518","98763975.095963717","122835292.29996172","103448249.03756371","127519566.24156171"
2013-08-01,"42260690.996361271","49206397.096282333","66300474.108344927","82983282.688866138","100373532.1233528","123829699.90555879","104893079.3969928","128349247.1791988"
2013-09-01,"42860425.48370751","50290640.708598219","66746908.653473288","83937935.079830766","101754019.06005186","125662881.04628585","105725133.09897186","129633995.08520585"
2013-10-01,"44062775.578303762","51727215.281334117","68673452.136451647","86151983.389465377","104112783.61629094","128211992.22190294","108568214.68551093","132667423.29112294"
2013-11-01,"44978060.402719997","52708053.935999997","69249423.570759997","86764301.130569994","105010523.27854998","128997961.35686","109866954.68291999","133854392.76122999"
2013-12-01,"50526967.044809997","57981186.573919997","78366959.478860006","95835928.591749996","114826850.72718","138661271.42405","119371810.10226001","143206230.79912999"
2014-01-01,"48366810.129900001","55745036.374109998","75768058.855789989","93159199.329479977","112347787.50667998","136049809.42355999","118003166.54758999","141705188.46447"
2014-02-01,"48162660.545480005","55341436.452140003","74952321.405640006","92215998.880779997","111787450.81786999","135287907.24203998","117937854.03072999","141438310.45489997"
