"MES","BCOA01","BCOA02","BCOA03","BCOA04","BCOA05","BCOA06","BCOA07","BCOA08","BCOA09","BCOA10","BCOA11","BCOA12","BCOA13","BCOA14","BCOA15"
2013-03-01,"790364.49839000008","127964.89621000001","239308.31566000005","423091.28651999997","551957.74564999994","4115479.4173599994","4109412.5734199993","4005893.2772599994","0","40872.480410000004","62646.815749999994","6066.8439399999997","9864.664230000004","281588.15661000001","5749254.4822399998"
2013-04-01,"787889.91748000006","124957.49122999999","251631.93799000001","411300.48826000001","540738.18462000007","4143647.7470000004","4137580.9030600004","4037549.5720800003","0","38467.744319999998","61563.586659999994","6066.8439399999997","9722.5968699999994","282905.33402999985","5764903.7800000003"
2013-05-01,"791039.44099999999","124800.01740000003","251711.89608999999","414527.52750999999","548469.23708999995","4176813.0021700002","4170746.1582300002","4072832.2312000003","0","36394.799760000002","61519.127269999997","6066.8439399999997","9725.6282800000008","286518.58633999998","5812565.8948800005"
2013-06-01,"815423.81836000015","123957.25978000001","259310.87508000003","432155.68350000004","541469.2411799999","4203487.8676799992","4197379.2737799995","4109199.7436099993","0","29368.669779999997","58810.860390000002","6108.5938999999998","8563.801449999999","289932.15833999997","5858876.8870099988"
2013-07-01,"818486.57345999999","119867.41932999996","262452.82816000003","436166.32597000001","537183.87500999996","4236405.2178699998","4230296.6239700001","4142283.6049800003","0","27922.399890000001","60090.619100000004","6108.5938999999998","7622.762999999999","286487.63766000001","5886186.0669999998"
2013-08-01,"800743.18411000003","110100.75010999999","249965.72164000003","440676.71235999995","581469.36869999988","4278364.7195999995","4272256.1256999997","4179711.2318699993","0","32804.285959999994","59740.607870000007","6108.5938999999998","6610.7847300000003","288547.64892000007","5955735.7060599998"
2013-09-01,"766544.87849000003","112084.73826000003","254359.14515","400100.99508000002","580214.08414000005","4310025.0014199996","4303916.4075199999","4206711.4750199998","0","36095.097090000003","61109.83541","6108.5938999999998","6807.8578700000007","292222.46275999985","5955814.2846799996"
2013-10-01,"774757.4363200001","113262.06165999998","263210.52421000006","398284.85044999997","579244.98023999995","4358221.8524099998","4352113.2585100001","4259348.8668400003","0","32273.570010000003","60490.821660000016","6108.5938999999998","6166.2702100000006","303125.08483000007","6021515.6240099994"
2013-11-01,"795131.44680000003","124567.49837999999","261908.26720000006","408655.68122000003","570151.79272999987","4397508.3522099992","4391399.7583099995","4294313.7900599996","0","34909.618849999999","62176.349400000006","6108.5938999999998","5089.0423299999993","298748.88554999995","6066629.5196199985"
2013-12-01,"890572.18982000009","130814.44048","247132.07988000003","512625.66946000006","583860.04286999989","4419992.1393999998","4413835.5254999995","4337739.6993499994","0","23868.564739999994","52227.261410000021","6156.6138999999994","11597.158419999998","290141.0439499999","6196162.5744599998"
2014-01-01,"856345.7868799998","143545.95110000001","256674.70381999994","456125.13195999991","600807.43067000003","4432547.0040300013","4426390.3901300011","4344428.5181200011","0","27547.522570000001","54414.349440000005","6156.6138999999994","11569.415010000001","286952.84911999997","6188222.4857100006"
2014-02-01,"862515.09337000013","134084.23032","264507.71201000002","463923.15104000008","596510.20855999994","4453606.4052799996","4447449.7913799994","4345061.5998900002","0","47753.911209999991","54634.280280000006","6156.6138999999994","11422.169959999997","286798.09244999994","6210851.9696199996"
2014-03-01,"832265.81585999997","145032.02769999998","260621.08941000007","426612.69874999998","638831.30052000005","4462050.2002699999","4455893.1463700002","4349993.70156","0","50752.262459999991","55147.182350000003","6157.0538999999999","11258.933100000002","285934.07446999988","6230340.3242199998"
2014-04-01,"843272.68027999997","124767.45245000001","266781.86765000003","451723.36018000002","628662.51466999995","4480997.0942099998","4475185.4092699997","4381539.4210999999","0","37346.989270000005","56298.998899999991","5811.684940000001","9066.890519999999","284469.01046999986","6246468.1901500002"
2014-05-01,"839936.31710999995","125050.84825999997","257253.54815999998","457631.92068999994","629378.37223999982","4502207.2049499992","4496395.5200099992","4403047.528549999","0","36743.405530000004","56604.585930000001","5811.684940000001","9208.8358100000005","288822.92586999998","6269553.6559799993"
2014-06-01,"865385.86605000007","122164.80656000001","264807.43521000003","478413.62427999999","624856.16305000009","4516895.6314399997","4511083.9464999996","4423621.5801399993","0","32016.19282","55446.173539999996","5811.684940000001","8198.0269599999992","299338.00830999995","6314673.6958099995"
2014-07-01,"838705.89610999997","146115.76809000003","274505.01583999989","418085.11218000005","623927.5519399998","4541427.5318","4535615.8468599999","4447637.0827400004","0","33759.880100000002","54218.884020000012","5811.684940000001","7287.9084400000002","305315.16020999989","6316664.0484999996"
2014-08-01,"818802.54403999995","123983.22721999999","271393.86989999999","423425.44691999996","654428.92894999997","4572176.1558199991","4566364.470879999","4467747.5763199991","0","43733.960500000008","54882.93406","5811.684940000001","6072.7366099999999","294670.22413999995","6346150.5895599984"
2014-09-01,"820995.92232999997","134130.46161999999","278328.54687000008","408536.91383999999","640970.14483999973","4597057.9830299998","4591246.2980899997","4491068.5118899997","0","42433.45958000001","57744.326620000014","5811.684940000001","4991.3701600000004","308539.97537","6372555.39573"
