"MES","STBL01","STBL02","STBL03","STBL04","STBL05","STBL06","STBL07","STBL08","STBL09","STBL10","STBL11","STBL12"
2005-03-01,"8.0922727272727251","8.091363636363635","8.091363636363635","8.0922727272727251","8.0722727272727308","8.1019354838709745","8.0719354838709734","8.08","8.1","330000000","18500000","11000000"
2005-04-01,"8.1","8.1","8.1","8.1","8.08","8.11","8.08","8.08","8.1","315000000","0","0"
2005-05-01,"8.1","8.1","8.1","8.1","8.08","8.11","8.08","8.08","8.1","300000000","2500000","2500000"
2005-06-01,"8.1","8.1","8.1","8.1","8.08","8.1125884488472657","8.0803272088312426","8.08","8.1","330000000","1000000","1000000"
2005-07-01,"8.0947999999999993","8.0947999999999993","8.0947999999999993","8.0947999999999993","8.0632999999999999","8.1033529391063794","8.0620091335493544","8.0299999999999994","8.09","315000000","300000","300000"
2005-08-01,"8.09","8.09","8.09","8.09","8.0299999999999994","8.0779439955790888","8.021145608859845","8.0299999999999994","8.09","345000000","0","0"
2005-09-01,"8.0831999999999997","8.0836000000000006","8.0836000000000006","8.0831999999999997","8.0231999999999992","8.0672067335325526","8.0083060799429706","8.02","8.08","330000000","0","0"
2005-10-01,"8.08","8.08","8.08","8.08","8.0152000000000001","8.0601020713674956","8.0033683698076281","8","8.08","315000000","0","0"
2005-11-01,"8.08","8.08","8.08","8.08","8","8.0525145817256885","7.9903000000000004","8","8.08","315000000","0","0"
2005-12-01,"8.08","8.08","8.08","8.08","8","8.0580999999999996","7.976","8","8.08","315000000","0","0"
2006-01-01,"8.08","8.08","8.08","8.08","8","8.0606000000000009","7.9828000000000001","8","8.08","315000000","0","0"
2006-02-01,"8.0739000000000001","8.0744000000000007","8.0744000000000007","8.0735714285714248","7.993571428571431","8.0554000000000006","7.9763000000000002","7.99","8.07","270000000","0","0"
2006-03-01,"8.07","8.07","8.07","8.07","7.9743000000000004","8.0480846510051016","7.960403576389159","7.97","8.07","345000000","0","0"
2006-04-01,"8.0688999999999993","8.0694999999999997","8.0694999999999997","8.0688999999999993","7.9688999999999997","8.0452356156948195","7.9536559841877947","7.96","8.06","285000000","0","0"
2006-05-01,"8.06","8.06","8.06","8.06","7.96","8.0256645741235122","7.9446543408285848","7.96","8.06","330000000","0","0"
2006-06-01,"8.06","8.06","8.06","8.06","7.96","8.0298999999999996","7.9448999999999996","7.96","8.06","315000000","0","0"
