"MES","BCMA01","BCMA02","BCMA03","BCMA04","BCMA05","BCMA06","BCMA07","BCMA08","BCMA09","BCMA10","BCMA11","BCMA12","BCMA13","BCMA14","BCMA15","BCMA16","BCMA17","BCMA18"
2005-07-01,"15171964.805743782","16249297.110800283","1077332.3050565005","1158505.8203250002","150747.70531100003","9531385.6531609893","9531385.6531609893","0","23758900.988476247","23566801.924741499","17755061.744120397","0","1058405.0309812555","4753335.1496398505","192099.06373474668","-231495.142643","4604524.0815685261","54144533.911942549"
2005-08-01,"16267691.576624189","17330490.029110488","1062798.4524862999","1155627.5449949999","89291.715118099994","9444230.6218448672","9444230.6218448672","0","23681790.483948469","23487064.031445447","17757665.091101885","0","1051655.0566258614","4677743.8837177008","194726.45250302064","-227608.82385389996","4464426.1538785845","54875449.272555307"
2005-09-01,"17031608.306512091","18017239.943037692","985631.63652559964","1154188.4073299998","89014.939512799989","9508521.930495467","9508521.930495467","0","23778345.194239717","23581294.870027561","17915828.550363921","0","915112.37332201435","4750353.9463416263","197050.32421215757","-224196.27072879998","4374347.4140963452","55711829.921457626"
2005-10-01,"18364626.764057297","19252737.077127296","888110.31306999992","1151310.132","88759.801599999992","9476458.7296846211","9476458.7296846211","0","23836722.621986639","23637786.038416207","17976498.543267205","0","966074.03695952054","4695213.4581894781","198936.58357043154","-255058.9062","4429347.5129412496","57092166.656069808"
2005-11-01,"19497179.023047298","20335003.352447297","837824.3293999997","1151310.132","142187.64336000002","9425249.6338142715","9425249.6338142715","0","23786515.546176638","23592813.797246207","18252281.614067208","0","907255.42849952076","4433276.7546794778","193701.74893043152","-229527.22017000002","4388354.8861414008","58161269.644369602"
2005-12-01,"19469392.103092857","20278909.993672855","809517.89057999989","1151310.132","141951.9296","9954352.5227892213","9954352.5227892213","0","23841167.696638625","23634596.2865308","18466586.255237214","0","832211.08899952052","4335798.9422940649","206571.41010782361","-225183.01730000001","3973869.3327805889","58306860.699601293"
2006-01-01,"20253569.390492849","20488724.37875285","235154.98826000001","1151310.132","1430492.0931200001","7579025.1358315274","7579025.1358315274","0","23813219.793198615","23614969.993320793","18331967.679077208","0","948039.76539952063","4334962.5488440655","198249.79987782362","-204089.15894999998","4552346.6534183109","58575874.039111301"
2006-02-01,"20921497.598001394","21149890.657635696","228393.05963430001","1149870.9943349999","1427619.2455362","7499310.9588336507","7499310.9588336507","0","23688155.808217231","23492823.796805054","18181957.13243648","0","977416.66311807372","4333450.0012504989","195332.01141217633","-203860.20054269998","4468770.2947928347","58951364.699173599"
2006-03-01,"22140534.595905989","22331539.08887649","191004.4929705","1146992.7190050001","1424065.4522139002","7250384.817224022","7250384.817224022","0","23711432.211281091","23515447.46623021","18211132.577089768","0","967240.94742707978","4337073.941713362","195984.74505088176","-200808.3183513","4236142.8558546016","59708744.33313331"
2006-04-01,"23192079.28381424","23444714.683084641","252635.39927039997","1145553.5813400003","1471179.4299827998","7276858.9604493771","7276858.9604493771","0","23916203.833185583","23723531.687927198","18481229.884876419","0","959730.31112853263","4282571.4919222444","192672.14525838647","-212359.3352836","4572688.6265434641","61362204.380031861"
2006-05-01,"24054186.119815059","24273950.899028659","219764.77921359998","1168836.5813400003","1472543.7469187998","7344556.8064490426","7344556.8064490426","0","24162082.4969032","23964770.866894811","18715569.699606415","0","934551.9157885327","4314649.2514998671","197311.63000838651","-208058.42682520003","4713863.7656594003","62708011.090260297"
