"MES","SFBP01","SFBP02","SFBP03","SFBP04","SFBP05","SFBP06","SFBP07","SFBP08","SFBP09","SFBP10","SFBP11","SFBP12","SFBP13","SFBP14","SFBP15","SFBP16","SFBP17","SFBP18","SFBP19","SFBP20","SFBP21","SFBP22","SFBP23","SFBP24","SFBP25","SFBP26","SFBP27","SFBP28","SFBP29","SFBP30","SFBP31"
2006-01-01,"1427659.3999100004","14286.652529999999","13822.611699999999","464.04083000000003","0","335746.50444000005","124318.07331000001","211428.43113000001","0","0","1060124.4159600004","70386.163019999993","986868.59663000016","319.02784000000003","2550.6284700000001","17501.826979999998","8757.6463399999993","8744.1806400000005","-","337524.4347300001","0","113469.74373000002","224054.69100000005","24736.656559999999","24670.30128","66.355279999999993","-","9200","407479.19199999998","226010.65141999992","275775.64984999999"
2006-02-01,"1440092.79923","9161.3563300000005","7566.4154400000007","1594.9408899999999","0","344384.72720999998","127322.51406999999","217062.21314000001","0","0","1070033.19252","77333.653820000007","989822.84378000011","318.62905999999998","2558.0658599999997","16513.52317","7893.5820999999996","8619.9410700000008","-","360692.77049000002","0","127107.72407","233585.04642000003","22578.540490000007","22537.967260000005","40.573230000000002","-","9188.5","403640.64970999997","236481.21006000001","269154.56388999999"
2006-03-01,"1478729.4865999999","5773.7112900000002","4970.7475000000004","802.96379000000002","0","365394.05773999996","142611.45261000001","222782.60512999998","0","0","1091989.7185000002","88876.180420000004","1000227.8278000001","317.83148999999997","2567.8787900000002","15571.999069999998","6771.5489299999999","8800.450139999999","-","363523.34483000007","0","134122.74790000002","229400.59693000003","23575.373540000004","23525.606760000002","49.766779999999997","-","9165.5","394791.78215999994","241592.85072000005","272119.54281000001"
2006-04-01,"1494007.5033299997","6064.6790200000005","4784.7382500000003","1279.9407699999999","0","369093.72453999997","149717.12245999998","219376.60208000001","0","0","1103573.6340199998","97440.21703","1003235.4653799998","322.59102000000001","2575.3605899999998","15275.465749999999","6515.1593700000003","8760.30638","-","366507.87444000004","0","140742.74420000002","225765.13024","24880.945839999997","24828.562469999997","52.383369999999999","-","9154","496717.75488000002","244143.22141","275001.72171000001"
2006-05-01,"1528381.42698","4016.2046999999998","3086.8147599999998","929.38993999999991","0","383034.39185999997","162700.57919999998","220333.81266","0","0","1124730.21631","109939.25423999999","1011882.90165","323.39753000000002","2584.6628900000001","16600.614110000002","7498.2018200000002","9102.4122900000002","-","358795.70484000002","3351.16","126852.59067000001","228591.95416999998","13403.155959999998","13333.778859999999","69.377100000000013","-","7562","483742.95487999998","254190.95209999999","279161.85531000001"
2006-06-01,"1595248.79244","4098.3358200000002","3157.1742899999999","941.16153000000008","0","400353.50933000003","181692.50451","218661.00482","0","0","1154842.8278900001","122464.55478000001","1029460.1240800001","324.20602000000002","2593.94301","35954.119399999996","27199.720959999999","8754.398439999999","-","354751.21220999997","0","119209.01032","235542.20188999997","17989.664430000001","17939.019230000002","50.645199999999996","-","5572","486168.64675999997","249532.89467000001","289604.04613999999"
2006-07-01,"1635870.69955","3718.2765399999998","3206.5356099999999","511.74092999999999","0","433470.9191","196480.24496000001","236990.67413999999","0","0","1162639.6603699999","131706.38759","1028006.52064","325.01650999999998","2601.7356299999997","36041.843540000002","27154.75117","8887.0923700000003","-","345376.09140999999","0","116990.19133","228385.90007999999","15083.11594","15010.40568","72.710259999999991","-","9552","486168.64675999997","248122.0368","294921.11828999995"
2006-08-01,"1685556.2759500002","8704.8406299999988","8280.3392999999996","424.50133","0","455198.21300999995","204775.11390999999","250423.09909999999","0","0","1185062.5710700003","144150.04495000001","1037976.11285","325.41973999999999","2610.9935299999997","36590.651239999999","27594.279569999999","8996.3716700000004","-","339161.00497000001","0","113125.31100999999","226035.69396","16031.10485","15998.97258","32.132269999999998","-","9540","458395.38741999998","259760.49382999999","301692.20924999996"
2006-09-01,"1712239.8580999998","6163.8550399999995","5736.7362599999997","427.11878000000002","0","466867.27434999996","216203.78148000001","250663.49286999999","0","0","1201794.79996","154371.48379","1044476.9868899999","326.23326000000003","2620.09602","37413.928750000006","28311.370710000003","9102.5580399999999","-","357747.53169999999","0","123385.66386","234361.86783999999","20485.656920000001","20433.696390000001","51.960529999999999","-","9540","456539.05446000001","269681.59453999996","305893.08326999994"
2006-10-01,"1766229.1484600001","3075.2918","2593.1347299999998","482.15707000000003","0","497159.12138999999","235272.29618999999","261886.82519999999","0","0","1226312.34739","162883.05676999997","1060472.5548400001","327.04884999999996","2629.6869300000003","39682.387880000002","30362.747490000002","9319.6403900000005","-","369276.65922000003","0","124622.97686","244653.68236000004","20863.821220000002","20820.859500000002","42.96172","-","13515","480215.03690999997","273940.36090999999","319106.63133"
