"MES","SFBA01","SFBA02","SFBA03","SFBA04","SFBA05","SFBA06","SFBA07","SFBA08","SFBA09","SFBA10","SFBA11","SFBA12","SFBA13","SFBA14","SFBA15"
2006-07-01,"341443.87063000002","52283.938270000006","48538.417229999999","240621.51512999999","214002.30815999999","2288732.4442200004","2286112.0921700005","2233473.9353900002","0","31203.532429999999","21434.624349999998","2620.35205","9484.0714599999992","181431.01626","3035093.7107299999"
2006-08-01,"343472.65523999999","56634.49278","52092.888679999989","234745.27377999999","213186.71693","2328951.9142299998","2326333.9838299998","2270356.1774599999","0","33187.368430000002","22790.437940000003","2617.9304000000002","6115.2631499999998","178409.93135","3070136.4808999998"
2006-09-01,"346885.32886999997","56627.843150000008","54190.218369999995","236067.26734999998","208775.36353999999","2379841.3944299999","2377223.5540299998","2322759.8801699998","0","32008.652710000006","22455.02115","2617.8404","11859.1057","184765.59472999998","3132126.7872700002"
2006-10-01,"390076.71934999997","55294.373939999998","58948.065920000001","275834.27948999999","210193.12887000002","2453231.5678599998","2450613.7933399999","2396008.8344800002","0","32342.982739999996","22261.976120000003","2617.7745199999999","5440.1153999999997","184205.13723999995","3243146.66872"
2006-11-01,"431312.68912","64552.756520000003","71486.970420000027","295272.96217999997","219833.05408","2530218.9363400005","2527157.7099600006","2472496.9788100002","0","32889.201829999998","21771.529320000001","3061.2263799999996","6766.5322699999997","179011.49847999995","3367142.7102900003"
2006-12-01,"505966.56432000006","66401.995890000006","75768.098360000018","363796.47007000004","217238.6618","2587707.9942999999","2579270.3798499997","2532107.0256599998","0","27811.274880000004","19352.079310000005","8437.6144500000009","13487.024659999999","180449.19672999997","3504849.4418100002"
2007-01-01,"549470.03335000004","72391.6296","99965.232680000001","377113.17107000004","225205.52458000003","2592495.7228799998","2584056.3614099999","2538290.3944299999","0","26222.38695","19543.580029999997","8439.3614699999998","17159.360720000001","184035.07776999997","3568365.7193"
2007-02-01,"550927.32603999996","72471.393070000006","96298.967939999988","382156.96502999996","238947.35927000002","2633820.2822899995","2605537.4639799995","2551375.4386799997","0","34381.786440000003","19780.238860000001","28282.818309999999","19678.217980000001","182225.75599999994","3625598.9415799999"
2007-03-01,"600061.71314999997","54770.222760000004","95615.329490000004","449676.16089999996","240276.84277000002","2681643.7331900001","2678886.74719","2625899.8306100001","0","32938.210310000002","20048.706270000002","2756.9859999999999","30760.315850000003","186956.96447000001","3739699.5694300001"
2007-04-01,"620047.60836999991","74476.548890000005","106188.61416","439382.44531999994","243038.30233999997","2733891.6574199991","2731134.6714199991","2681324.1958999992","0","31895.580549999999","17914.894970000001","2756.9859999999999","32214.899669999999","194991.92124000005","3824184.3890399993"
2007-05-01,"644252.02205000003","63174.63839","141709.85068","439367.53298000002","239847.11596","2813682.4258999992","2810931.7486999994","2761471.9215299995","0","30524.640800000001","18935.186370000003","2750.6772000000001","20577.07879","200465.90953","3918824.5522299991"
2007-06-01,"651807.39893000014","64843.463630000006","130594.22736000002","456369.70794000005","254479.10253999999","2902984.5532199997","2899684.7769599995","2854125.0313899997","0","27691.868430000002","17867.877140000001","3299.7762600000001","14599.52101","197022.00497999997","4020892.5806799997"
2007-07-01,"599326.02740999998","63145.072229999998","156070.02132999999","380110.93385000003","281663.22250000003","2958827.0624700002","2954079.6559800003","2911347.4369300003","0","25480.211630000002","17252.007420000002","4747.4064900000012","12957.759790000002","213195.04856999998","4065969.1207400002"
