"MES","SEMI01","SEMI02","SEMI03","SEMI04","SEMI05","SEMI06","SEMI07","SEMI08","SEMI09"
2004-08-01,"169.13767019667171","144.82313452104313","344.76821192052978","205","87.55516328331862","243.32472006890612","129.43774248680748","140.64366658227655","170.51460361613351"
2004-09-01,"171.18003025718608","144.84895429899302","399.86754966887418","189.56521739130434","85.348631950573704","243.84151593453919","131.6159133721728","144.55803984784865","83.210808662825357"
2004-10-01,"170.78290468986384","144.84895429899302","392.31788079470198","205.86956521739131","87.202118270079438","253.05770887166236","130.42577876470514","146.10354665341342","185.85336777270018"
2004-11-01,"171.48260211800303","149.90963077717532","420.26490066225165","211.52173913043478","92.58605472197705","257.88113695090442","142.12066018787661","151.5237047936395","64.176435525531488"
2004-12-01,"168.28668683812404","151.30389878647043","413.2450331125828","211.7391304347826","97.616946160635479","269.25064599483204","150.06362354819797","156.23236094877018","50.129147625670576"
2005-01-01,"153.57413010590014","159.15311128324296","372.58278145695363","210.86956521739131","104.06001765225066","275.53832902670109","138.85777018176375","154.53422893625313","165.13014106894497"
2005-02-01,"147.80635400907715","162.61296152853086","386.7549668874172","223.2608695652174","109.35569285083848","274.41860465116281","133.67369852418318","150.76085684576501","52.751837870057621"
2005-03-01,"156.84568835098335","177.48515362767881","417.48344370860929","215","118.71138570167696","291.98966408268734","144.01626766800982","155.17135936434232","115.27915756010331"
2005-04-01,"157.01588502269288","188.04544280919185","408.60927152317879","222.17391304347825","119.77052074139453","290.52540913006027","144.42483064908495","153.0976765729373","48.539638386648122"
2005-05-01,"153.63086232980334","218.53860056803512","470.33112582781456","212.17391304347825","113.85701676963812","292.42032730404821","141.48130590451478","153.75906730103105","79.892708126365989"
2005-06-01,"149.86762481089258","293.05447973147432","442.25165562913907","226.30434782608697","109.79699911738747","301.98105081826014","141.93103706383562","151.02150212302652","40.691436518974768"
2005-07-01,"140.39334341906203","329.48618641879682","455.36423841059604","210.86956521739131","110.32656663724624","278.63910422049958","144.26826681969587","152.25871068240741","43.353864494337373"
2005-08-01,"135.47655068078669","332.53292021688611","471.78807947019868","213.69565217391303","106.61959399823478","320.84409991386735","142.44002544941927","155.13038048070322","63.759189350288096"
2005-09-01,"133.68003025718608","330.33823909114381","484.10596026490066","199.78260869565219","114.9161518093557","324.03100775193798","140.49326962661709","158.44769007683652","94.238029008543606"
