"MES","SEPL01","SEPL02","SEPL03","SEPL04","SEPL05","SEPL06","SEPL07","SEPL08","SEPL09","SEPL10","SEPL11"
2007-05-01,"1953","230.01999999999998","1671.0398799999998","939.31849999999997","7554.1696100000008","9.4496499999999983","255.02000000000004","91800.22","14930.36","38638.203513760032","157726.03617376002"
2007-06-01,"4864.5","355.04999999999995","1520.336","806.73850000000004","9562.7008399999995","16.065340000000006","267.75","111846.315","17542.815999999999","46003.715969399949","192518.50539939996"
2007-07-01,"5442","496.51999999999992","1749.26","866.48609999999996","8105.3174800000006","30.958000000000002","428.17","115102.46799999998","17989.656999999999","39539.492495759965","189322.58724575996"
2007-08-01,"6511.2300000000005","565.18999999999994","1838.2440000000001","804.28544000000011","11607.835449999999","15.076360000000001","565.23","87514.585000000006","8326.7929999999997","48163.932125719992","165347.73660572004"
2007-09-01,"2512.83","578.14","2132.8329600000002","692.34543999999994","9522.3245600000009","11.859129999999997","595.21","71947.520999999993","11950.442000000001","58965.872400319982","158314.76270031999"
2007-10-01,"13746.328","476.43999999999994","1679.7160000000001","913.12468000000024","11349.078740000001","12.101689999999996","597.54","49729.274000000005","6443.3410000000003","72491.025330720018","156841.02698072002"
2007-11-01,"10439.700000000001","524.12","1215.0920000000001","559.34158000000002","9996.3459500000008","16.667490000000004","444.06000000000006","39880.392","13921.462","61321.516544560036","137875.08162456003"
2007-12-01,"9430.8000000000011","362.40799999999996","1515.6759999999999","906.6563000000001","11136.217149999999","22.692959999999996","155.85","55204.387999999999","5650.91","78607.690032703962","162837.59429270396"
2008-01-01,"10197.36","365.72071999999991","959.78060000000005","624.05802999999992","9370.4564399999999","8.1756400000000014","194.49999999999997","63068.626699999993","7558.7179999999998","49801.39475549537","141954.48538549535"
2008-02-01,"9182","151.78399999999999","866.99599999999998","597.14847999999995","9665.2634900000012","10.254409999999998","179.56","53220.699600000014","5386.3810000000003","62070.927815391988","141151.63435539202"
2008-03-01,"13161.45","149.09999999999997","1130.424","717.47285999999997","8307.2216300000018","17.377989999999997","202.07","14885.035","6816.9070000000002","64096.977920799989","109282.16847079998"
2008-04-01,"3048.6","19.599999999999998","1287.5640000000001","653.3655500000001","7459.5358700000006","12.537800000000001","309.49","63325.911000000007","635.78399999999999","47518.870684799971","123962.0783948"
2008-05-01,"1650.5","46.199999999999996","1650.9760000000001","705.97744","10014.978099999998","21.936350000000008","95.149999999999991","78782.394","8692.1779999999999","39582.894055600023","141148.12909560002"
2008-06-01,"4600.4000000000005","237.61999999999998","2490.6080000000002","689.8735099999999","9932.8701000000001","11.990730000000001","241.01","49996.415000000001","7812.1350000000002","46621.480912560015","122393.63426256001"
2008-07-01,"9175.6","525.86999999999989","2268.3040000000001","648.77816000000007","11265.380630000001","16.934450000000002","58.620000000000005","77556.718999999997","10066.251","55405.441663560014","166929.33752356001"
2008-08-01,"15539.1","463.39","1955.9923999999999","576.63526999999999","10167.495890000002","15.502639999999998","155.88999999999999","67489.2","11081.927","64874.095427319997","172163.49451731998"
2008-09-01,"11902.1","628.18999999999994","1895.134","520.07309999999995","7664.6059699999996","8.3318699999999986","87.13","40897.724000000002","7302.9670000000006","52835.830789720014","123655.04385972003"
2008-10-01,"26703.9","540.7299999999999","2180.6853700000001","642.55548999999996","11947.25801","11.521119999999998","13.17999999999995","61633.029000000002","6658.1900000000005","98854.270957240034","209172.15312724002"
2008-11-01,"19030.3","538.28","1459.107","350.85228000000001","10507.31624","5.9552999999999976","14.140000000000015","31273.457000000002","6080.5590000000002","92331.607516640041","161577.44847664001"
2008-12-01,"22287.600000000002","420.02","743.93399999999997","425.52265","10711.519540000003","23.314719999999998",,"23584.333000000002","4494.5614000000005","67857.336073760016","130548.14138376003"
2009-01-01,"8688.2999999999993","454.96699999999993","1003.4010000000001","211.94967000000003","7353.2787500000004","7.3366099999999985","2.1599999999999966","17890.503000000001","4719.8599999999997","61841.703583796007","102171.301773796"
2009-02-01,"7713.4000000000005","356.77199999999993","774.57","488.03733999999997","6779.7528599999996","4.7371500000000015","14.620000000000005","36049.161999999997","7238.4859999999999","58197.798103136032","117602.73007313602"
2009-03-01,"6147","193.89999999999998","1326.732","459.91140000000001","8312.3742599999987","13.28257","20.29000000000002","44482.684999999998","8964.1740000000009","85121.737783199977","155021.81730319999"
2009-04-01,"10490.9","98.266699999999986","771.66550000000007","340.87744000000004","6317.5423300000011","8.8110099999999996","2.1299999999999955","47976.33","5758.4849999999997","46395.018374139596","118157.89848413959"
2009-05-01,"4921.7","139.29999999999998","1916.2013199999999","443.73624000000001","6522.4389700000011","7.6969100000000017","17.870000000000005","94008.960000000006","12946.478999999999","53248.694748400027","174155.22505840001"
