"MES","BCBP01","BCBP02","BCBP03","BCBP04","BCBP05","BCBP06","BCBP07","BCBP08","BCBP09","BCBP10","BCBP11","BCBP12","BCBP13","BCBP14","BCBP15","BCBP16","BCBP17","BCBP18","BCBP19","BCBP20","BCBP21","BCBP22","BCBP23","BCBP24","BCBP25","BCBP26","BCBP27","BCBP28","BCBP29","BCBP30","BCBP31","BCBP32"
2001-07-01,"6247058.4179999996","1884734.4180000001","4362324","1095419","3266905","0",,"16692734.8840784","4577095","257384","4319711","0",,"11800079","107647","11412973","279459",,"315560.88407839998","45849","268855.88407839998","856",,"5267278.8815600006","2644195.5630000001",,"2360494.97156","262588.34700000001","177446.367","3549002.1051599998","7895086.3299215995","5912834.0519999992"
2001-08-01,"6665704.6559999995","1878614.656","4787090","1126907","3660183","0",,"16430337.678560801","4739045","273120","4465925","0",,"11387099","104067","11001762","281270",,"304193.67856079998","37094","266238.67856079998","861",,"5089799.1167200003","2468522.8840000001",,"2375114.8627200001","246161.37","179342.77499999999","3648629.37744","7909887.5904391995","6012951.8600000003"
2001-09-01,"6568049.182","1892924.182","4675125","1024809","3650316","0",,"16411155.4730432","4690958","271186","4419772","0",,"11399103","113857","10924487","360759",,"321094.47304319998","48831","271397.47304319998","866",,"4956809.9908799995","2383009.247",,"2323684.3878799998","250116.356","181092.1","3657473.6764000002","8017413.9359568004","6266137.4900000002"
2001-10-01,"6719763.0150000006","1917058.0150000001","4802705","1097901","3704804","0",,"16402882.1647668","4878109","254533","4623576","0",,"11203043","134300","10563415","505328",,"321730.16476680001","39008","281848.16476680001","874",,"5019378.6871199999","2519733.4219999998",,"2241465.7531199995","258179.51200000002","181360.91","3591108.2610999998","8345001.8842332","6401930.3200000003"
2001-11-01,"6911727.8090000004","1915456.8089999999","4996271","1052866","3943405","0",,"16347816.610628599","5342072","283142","5058930","0",,"10681935","123118","10152444","406373",,"323809.6106286","45163","277769.6106286","877",,"5589677.7542399988","2532345.19",,"2792330.6122399997","265001.95199999999","186058.83499999999","3550976.8219099995","8604763.2843714003","6421378.0779999997"
2001-12-01,"7555359.2650000006","2421730.2650000001","5133629","1309999","3823630","0",,"16389522.5606947","5522097","387463","5134634","0",,"10561736","94192","10069666","397878",,"305689.56069469999","43192","261620.56069469999","877",,"5058633.9052399993","2555569.9550000001",,"2252561.0542399995","250502.89600000001","189070.10800000001","3413379.9615600002","8766697.5303052999","6373199.8300000001"
2002-01-01,"7386404.148","1980864.148","5405540","1122206","4283334","0",,"16085757.7141243","5708305","267522","5440783","0",,"10078001","95877","9579487","402637",,"299451.71412429999","44655","253908.71412429999","888",,"5867197.0115599995","2672450.8590000002",,"2949295.8735599997","245450.27900000001","192324.86499999999","3363243.0120599996","8911583.1008756999","6542037.7400000002"
2002-02-01,"7412346.3159999996","1978853.3160000001","5433493","1139008","4294485","0",,"15834965.215968801","5581606","254376","5327230","0",,"9942105","93740","9432689","415676",,"311254.21596880001","43056","267301.21596880001","897",,"5655143.9128399994","2736349.9240000001",,"2684058.7008399996","234735.288","193812.31400000001","3339020.7448399998","8958712.3540312015","6788321.8549999995"
2002-03-01,"6943479.2080000006","1981654.2080000001","4961825","1006916","3954909","0",,"15849883.35406","5541556","242890","5298666","0",,"10037136","99010","9534119","404007",,"271191.35405999998","37165","233123.35405999998","903",,"5494245.2630399996","2575311.2060000002",,"2683750.0640400001","235183.99300000002","200274.397","3341757.0395400003","9106638.3939399999","6810914.9470000006"
2002-04-01,"7061286.6660000002","1942711.6660000002","5118575","989291","4129284","0",,"15772498.6080768","5497318","235697","5261621","0",,"9989951","99544","9460475","408212","21720","285229.60807680001","46887","237435.60807680001","907",,"5542752.3951600008","2811490.74",,"2493395.5981600005","237866.057","200075.18900000001","3268848.6940000001","9253962.6359231994","6931064.3700000001"
2002-05-01,"7076168.983","2080624.983","4995544","973143","4022401","0",,"15470203.839819999","5351920","262891","5089029","0",,"9828035","95901","9293162","392687","46285","290248.83981999999","40727","248610.83981999999","911",,"5282636.4742799997","2580391.4279999998",,"2460619.6332800002","241625.413","203481.01500000001","3224037.0420300001","9221761.2821800001","7140267.3640000001"
2002-06-01,"7220384.9649999999","2075408.9649999999","5144976","1084845","4060131","0",,"14927119.9059","5137893","246430","4891463","0",,"9495173","92501","8998520","381276","22876","294053.90590000001","39985","253147.90590000001","921",,"5066673.7415999994","2481188.9459999995",,"2329504.0405999999","255980.755","209366.53599999999","3286855.1521999999","9637243.3590999991","6898223.2559999991"
