"MES","SEHV01","SEHV02","SEHV03","SEHV04","SEHV05","SEHV06","SEHV07","SEHV08","SEHV09","SEHV10","SEHV11","SEHV12","SEHV13"
2007-08-01,"245.75065175065177","20916.340629999999",,,"1037.3782113597504","173959.81549000001",,,,,,,"194876.15612"
2007-09-01,"451.97984357984365","41550.606530000005","0.53583295383295382","67.715190000000007","992.42557674016393","164786.51616999999",,,,,,,"206404.83788999997"
2007-10-01,"225.64620433620433","24858.5815","1.6123750123750125","232.10257999999999","1035.2075673448319","193287.93812000001",,,,,,,"218378.62220000001"
2007-11-01,"247.03209583209585","28729.965550000001","1.9755220275220275","257.28593999999998","1017.5956348666873","190981.10485",,,,,,,"219968.35634"
2007-12-01,"42.688697488697493","4823.0836200000003","2.0380150480150481","278.78924000000001","1047.6471313130687","196533.38810000001",,,,,,,"201635.26096000001"
2008-01-01,"262.08007788007791","28395.893600000003","3.0502443322443327","398.05309000000005","1053.8227492959272","231242.13543000002",,,,,,,"260036.08212000004"
2008-02-01,,,"0.74080117480117491","114.72316000000001","984.34696786123152","215870.67256000001",,,,,,,"215985.39572"
2008-03-01,"480.8351582351583","57552.929619999995","3.0774030294030297","394.16950000000003","1052.0085234225835","230871.28155000001",,,,,,,"288818.38066999998"
2008-04-01,"490.97308517308522","61812.117729999998","4.8043626043626046","580.85807999999997","997.25773507629913","236994.21870999999",,,,,,,"299387.19452000002"
2008-05-01,"248.14545754545756","37377.405810000004","3.1365805365805368","353.31044000000003","1026.6289362051957","243605.52402000001",,,,,,,"281336.24027000001"
2008-06-01,,,"0.86981486981486988","94.546149999999997","1000.5426626476188","237795.92927999998",,,,,,,"237890.47542999999"
2008-07-01,"245.14972774972776","38833.164100000002","2.9794343794343798","371.47787","1052.7925737900148","292458.60356000002",,,,,,,"331663.24553000001"
2008-08-01,"241.32658812658815","33342.990260000006","1.0255090255090256","131.62592000000001","1020.0797060424854","280718.06517999998",,,,,,,"314192.68135999999"
2008-09-01,"235.11860871860875","28305.46933","0.9303567303567305","173.58396999999999","963.51650783373168","264556.52055000002",,,,,,,"293035.57384999999"
2008-10-01,,,"0.91983631983631997","198.88050000000001","1014.026518148563","314853.73916000006",,,,,,,"315052.61966000008"
2008-11-01,"443.75140415140419","28912.951960000002","1.7303105303105304","242.70123999999998","982.80425410859016","309027.06255999999",,,,,,,"338182.71575999999"
2008-12-01,"206.60789360789363","9758.5493900000001","1.3981849981849983","191.51237999999998","945.59592618700765","301092.26968999999",,,,,,,"311042.33145999996"
2009-01-01,,,"0.64138864138864149","25.120060000000002","767.25954034829897","182526.65208999999",,,,,,,"182551.77214999998"
2009-02-01,"244.63615483615487","9826.1714800000009","1.9087219087219089","77.939830000000001","738.93066071116186","179207.57021000006",,,,,,,"189111.68152000004"
2009-03-01,,,"3.756657756657757","150.4659","778.35658068026316","186737.54032000003",,,,,,,"186888.00622000004"
2009-04-01,"241.81673101673104","12338.3024","2.7190047190047193","123.4819","793.12936480168025","141962.70812999998",,,,,,,"154424.49242999998"
2009-05-01,"227.09470349470351","17784.15539","1.8421938421938424","88.709179999999989","981.94023167266153","177676.08947000001",,,,,,,"195548.95404000001"
2009-06-01,,,"2.3099227139227145","151.99893","973.50422162168127","176196.66497999997",,,,,,,"176348.66390999997"
2009-07-01,"236.6841302841303","17712.579089999999","4.2810810810810818","312.63033999999999","938.96825701653779","172985.80938999998",,,,,,,"191011.01882"
2009-08-01,"244.36637956637958","19863.9964","2.0494340494340495","133.78728000000001","857.63731586492986","157595.03637000002",,,,,,,"177592.82005000001"
2009-09-01,,,"1.7354717354717357","113.18658000000001","792.00903426236835","145094.16836999997",,,,,,,"145207.35494999998"
2009-10-01,"232.3878295878296","20610.676820000001","6.4061578061578075","557.94570999999996","798.8562795585392","164906.62078000003",,,,,,,"186075.24331000002"
2009-11-01,"229.69818169818171","20584.690019999998","7.5910503910503921","702.86232000000007","700.63578427652965","143422.37346",,,,,,,"164709.9258"
2009-12-01,"226.25911625911627","20994.921020000002","5.2898788898788904","488.61698000000001","684.18997634974164","139262.87700000001",,,,,,,"160746.41500000001"
2010-01-01,,,"1.773969573969574","157.22119000000001","736.14206236876862","166419.76310000001",,,,,,,"166576.98429000002"
2010-02-01,,,"1.7164109164109167","160.72032000000002","849.73355605016741","194481.81552999999",,,,,,,"194642.53584999999"
2010-03-01,"201.36855096855098","18147.718250000002","3.0170874170874176","279.44961000000001","948.80056174967547","218755.27496000001",,,,,,,"237182.44282000003"
2010-04-01,"231.72114972114974","23205.491870000002","1.6842556842556844","153.83453","803.28521170056683","193234.18612",,,,,,,"216593.51251999999"
2010-05-01,,,"3.8954558954558962","390.92437000000001","1035.4735004728484","251182.99314000001",,,,,,,"251573.91751"
2010-06-01,"233.76414876414879","21174.903200000001","2.7935847935847939","253.94544000000002","1042.8901020330995","252573.31883",,,,,,,"274002.16746999999"
2010-07-01,"205.17922977922979","18950.73977","2.5988185988185988","245.42489","1068.0389851394295","264048.97414999997",,,,,,,"283245.13880999997"
2010-08-01,"229.35562155562158","22687.191360000001","1.209028809028809","97.212440000000001","1077.6662967738864","265527.98683999997",,,,,,,"288312.39063999994"
2010-09-01,"221.40200640200644","19983.522690000002","0.51668811668811676","42.378370000000004","1036.5901680103971","255239.26888000002",,,,,,,"275265.16993999999"
2010-10-01,"204.84645744645746","20087.49697","3.6625416625416629","378.52919000000003","1037.0547022240175","255474.32797000001",,,,,,,"275940.35412999999"
2010-11-01,"211.61034881034882","20874.773989999998","1.9196119196119197","202.34902","1004.854737713393","247243.3786",,,,,,,"268320.50160999998"
2010-12-01,"191.90494010494012","21532.269359999998","4.1754941754941761","471.00504999999998","947.98375632647651","233592.85042999999",,,,,,,"255596.12484"
2011-01-01,"245.35115335115339","26353.210600000002","1.4238854238854239","167.02087","894.57771265753411","229520.56354999999","229.52056356","229.52056356",,,,,"256040.79501999999"
2011-02-01,"233.79800679800681","29376.47582","2.1015741015741018","226.03813","1024.8650323360764","265264.61168000003","265.26461169000004","265.26461169000004",,,,,"294867.12563000002"
2011-03-01,,,"1.3889053889053891","140.84947999999997","1093.3265753125311","282757.80918000004","282.55370960999994","282.55370960999994",,,,,"282898.65866000002"
2011-04-01,"238.92432432432435","32544.477440000002","0.69676269676269686","72.915670000000006","907.47958085831783","264691.60152000003",,,,,,,"297308.99463000003"
2011-05-01,"245.85377025377028","30189.571609999999","1.3953073953073956","163.42953","974.9956283496241","285722.60275999998",,,,,,,"316075.60389999999"
2011-06-01,,,"1.5725175725175726","182.14555999999999","1101.979229477801","323261.75005000003",,,,,,,"323443.89561000001"
2011-07-01,"238.20586080586082","28420.10166","1.6190476190476193","197.54234","1127.9119439714568","375785.49127",,,,,,,"404403.13526999997"
2011-08-01,"239.70847770847774","25609.236499999999","0.6925386925386926","73.03192","1124.4275812741323","373459.75080999994",,,,,,,"399142.01922999992"
2011-09-01,"240.09322509322513","25926.035980000001","2.6470646470646475","287.56216999999998","1079.374551586217","359270.56455000001",,,,,,,"385484.16269999999"
2011-10-01,,,"1.5546315546315548","144.13623999999999","1105.6616752504806","388448.41216000001",,,,,,,"388592.54840000003"
2011-11-01,"244.8775302775303","29142.615120000002","1.7545457545457546","185.35973999999999","1064.5864404874217","374281.85857000004",,,,,,,"403609.83343"
