"MES","SEMU01","SEMU02","SEMU03","SEMU04","SEMU05","SEMU06","SEMU07","SEMU08","SEMU09","SEMU10","SEMU11"
2004-07-01,"9062.6996440631574","9010.0436273082651","9036.3716356857112","5410.3328488013995","3149.7067700537382","920.86303474468707","1001.3558300692982","2645.2036793692505","194675.1158346126","12816482.42337794","2971.312662996233"
2004-08-01,"8966.4489874286137","8921.4667914616839","8943.9578894451479","5609.462607849664","2603.036876355749","942.80784331635448","992.22123685308406","2824.5614035087724","207511.65571866819","12643859.649122808","8581.5011372251702"
2004-09-01,"9051.8017779378897","9052.8188367833191","9052.3103073606035","5609.5485884342343","3019.3966773155157","871.55150712773991","967.05227434553046","2830.7316233839438","211004.16390079053","12995762.092649421","4188.2078015459283"
2004-10-01,"9022.1976425171069","9040.0020691999598","9031.0998558585343","5609.5863353336217","2961.8052346877416","946.51101201368704","988.27257015883458","2937.6160116213377","209096.48584698973","13134703.196347032","9354.4468546637745"
2004-11-01,"9080.1894744751826","9055.7111806013563","9067.9503275382704","5805.864141322164","3172.5302901038467","973.19191894358255","1049.1427341668145","2994.4149115133573","227844.97511454858","13621974.590105757","3229.7426120114396"
2004-12-01,"8847.4504107607409","8950.9781402399967","8899.2142755003697","5859.8029282839525","3119.8814782042518","973.51903575136703","1106.4092664092664","3126.0637694315215","240578.62195994699","14045283.275060255","2522.5165562913908"
2005-01-01,"8041.6049345124047","8201.1333340272304","8121.3691342698176","6164.0945261634906","2812.5508467353488","970.31910895095223","1179.0216601598365","3199.336433924816","222613.67220252153","13892620.964942727","8310.9649122807023"
2005-02-01,"7855.9558382303057","7775.8502315439055","7815.9030348871056","6297.7612226873007","2919.6941405042703","1026.6419332472715","1238.6544465706518","3186.0065594252696","214303.16135103206","13553394.840064086","2655.1282051282055"
2005-03-01,"8336.561357233184","8250.8064800308839","8293.683918632034","6874.0489149879068","3151.6451381149122","988.74458122364376","1345.2316413934109","3390.4354032833689","230883.59392831489","13949898.855543548","5801.666666666667"
2005-04-01,"8267.9612292589281","8337.7495041542406","8302.8553667065844","7283.1344566368844","3085.0202694987911","1021.8076114055208","1356.7095466607234","3373.094688221709","231539.48836103646","13763475.394396042","2442.9678848283502"
2005-05-01,"8128.081565664369","8119.0640720724205","8123.5728188683952","8464.1856789431367","3551.4817418199659","975.93251514163853","1290.0702499593563","3395.1259416233765","226820.27253681849","13822934.146341464","4020.5415499533146"
2005-06-01,"7824.5353696049306","8026.2634341324901","7925.3994018687099","11350.388511134028","3338.6001553380447","1040.6708192592923","1243.71098458493","3505.5594400800669","227541.42233067026","13576826.871124605","2047.7127397934089"
2005-07-01,"7431.2856305800105","7416.2761240074024","7423.780877293706","12761.239536559677","3437.9248764838526","970.41040649500553","1250.2521376891032","3234.5931222335716","231287.84538241159","13688052.247406837","2182.3839157491625"
2005-08-01,"7160.7206333381109","7166.7656340635858","7163.7431337008484","12878.51423595921","3562.2153835156332","982.90762638747537","1207.8112610218018","3725.1249877462992","228357.466706279","13946215.202244712","3209.0032154340834"
2005-09-01,"7078.982005216063","7059.4398258197189","7069.2109155178914","12794.289357966825","3655.1476214037421","918.74462021505747","1301.6908494584418","3761.7903505170825","225236.45334150482","14244440.661704399","4743.3962264150941"
2005-10-01,"6683.5302449852634","6616.0919109042261","6649.8110779447452","12794.664425101702","3408.810523530713","984.70259077268565","1402.3496349657219",,"233152.03086266975","15087528.687669519","2292.2927775084827"
2005-11-01,"6318.4357562339719","6309.3577870505615","6313.8967716422667","12805.64758356645","3785.5022147334657","1027.1186755434228","1473.5531617961237","4034.8050273928457","244989.6002699635","15032939.287799181","6225.3012048192768"
2005-12-01,"6207.3375153368934","6337.3594354245333","6272.3484753807134","12750.063291723707","3799.9302732615652","1038.5395537525355","1615.9238974660893","4365.2837825407041","256280.0305024765","15966692.040644499","4060.9309623430959"
2006-01-01,"6699.0254351906251","6696.9933988131479","6698.0094170018865","12794.694725798467","3872.4854026517796","1116.3416556682776","1837.8815961430785","4563.5698637607293","277558.6349404254","17104467.217964612","3478.5151739452258"
2006-02-01,"7301.7285824892751","7282.0188541093739","7291.8737182993245","13499.63455134484","4069.6360972245634","1191.8708918628943","2041.3310362998213","4681.1288661583148","292814.45362241968","17951377.74822969","4245.7484826414184"
2006-03-01,"7854.9235435913015","7844.5427285545065","7849.733136072904","13174.668923416284","4718.1179503049007","1236.8831211502918","2197.3307391311519","4938.8166565277652","310341.83120421367","17816700.213797033","4125.1187189303173"
2006-04-01,"8109.4610589808563","8128.5660998640333","8119.0135794224443","15515.88015872373","4923.7402528392631","1185.549928933837","2456.5326938997223","5626.255019144518","351355.68512994581","18882952.514012937","3456.2609601236263"
2006-05-01,"9023.0970211268414","9179.598813709923","9101.3479174183813","15747.284871343632","4982.2757315590125","1179.0854344870008","3138.4935171762463","7526.2258265415339","412033.1377450545","21612246.117315978","5367.3245614035086"
2006-06-01,"8322.5773578039989","8454.2738522432155","8388.4256050236072","15252.84824867299","4830.5764550925805","1127.5222189330616","3501.6874655241704","8157.0863455818708","414088.69457804353","19926819.531755812","3807.2805974698981"
2006-07-01,"8106.6454706782615","8021.8253798038904","8064.235425241076","14763.077732670366","5294.5753557087055","997.04682410146097","3268.382521905743","7760.3231908863499","355182.09130914579","19378740.352324281","4473.9739286930289"
2006-08-01,"8334.5474807794508","8368.7074275722007","8351.6274541758248","15497.626779279701","5384.7591594441046","1058.3481123760062","3312.5524987108042","7619.11025431288","365342.05806478253","20546338.501396593","3750.1232744553886"
2006-09-01,"8690.3690190132202","8681.2116867907771","8685.7903529019986","15580.105339129317","5590.3795851980058","1154.8180377727822","3331.2469472101161","7636.5323759178737","387513.13566862629","19761853.23448766","2975.3436768149877"
2006-10-01,"9118.887080543027","9114.5761129806906","9116.7315967618597","15747.261515449603","5351.8297920030609","1361.9452901895766","3407.9775055641389","7482.6196421355808","371869.73563920625","18708196.123911139","3468.8383618815751"
2006-11-01,"9889.6929291633169","9964.1233159183103","9926.9081225408136","15747.290649832119","5619.2887245895054","1531.1671868783185","3860.9516897004569","7412.0413364594551","377940.18164250208","19665580.011207946","3916.4565665826262"
2006-12-01,"10249.973116887162","10177.239926302043","10213.606521594604","15747.267547338763","5442.3574437998877","1598.460543238634","4324.941149313775","6956.3997049960835","408962.09430508222","20278881.368352041","2235.5787857311598"
2007-01-01,"11065.391433242963","11054.940929250068","11060.166181246515","15758.667152426346","5916.497871233244","1720.2673043567891","4283.4763169287125","6574.6878885714059","422713.57753471978","20001070.136230249","2031.2976607307796"
2007-02-01,"11786.101835824609","11576.507982904806","11681.304909364708","15747.270944935593","5499.4815994148757","1663.9482990058218","3855.3921965303762","5663.2765992560671","413703.72559020174","20763752.733086836","1690.3999213527329"
2007-03-01,"13635.92198842618","13497.874775229191","13566.898381827687","15747.320848371215","6292.5539374635937","1810.1132151839026","3413.3002447873637","5727.9482943227649","437438.77036472998","21336234.430458311","3498.8664987405537"
2007-04-01,"14093.808337596447","14097.013311534896","14095.410824565672","15759.38103725554","5659.9670082541952","1937.3601527745022","3325.514049331407","6769.9385537650542","429656.23217051657","21491154.110043827","3534.0917178906502"
2007-05-01,"14088.220362403592","14155.518178843935","14121.869270623763","15747.238434686655","7442.9609437969257","2000.9996616294809","3535.7799762414256","7799.0631151611706","438246.47332466469","21813006.861392204","5726.804455251392"
2007-06-01,"14100.483920175478","14150.490707146622","14125.487313661051","15747.306785751984","7017.4221490805012","2140.2018730658024","3771.9810035915662","7733.3541606820272","425980.53307586047","21215879.92947147","6875.1651438240269"
