"MES","AMBM01","AMBM02","AMBM03","AMBM04","AMBM05","AMBM06","AMBM07","AMBM08","AMBM09","AMBM10","AMBM11","AMBM12","AMBM13","AMBM14","AMBM15","AMBM16"
2008-12-01,"53822520.3590656","53823581.082800202","1060.7237346000002","-11931858.23676322","1681223.1419049997","1961184.7071947998","-279961.5652898","15462308.410310213","0","-5817076.5464883707","22292500.307408802","15807424.188340001","4063848.0130299977","844505.49127419037","1576722.6147645996","6485076.1190687884"
2009-01-01,"54251012.1629977","54248053.701959401","-2958.4610382999999","-12564234.71705419","1673697.5083570001","1935354.4019375001","-261656.89358050001","15821435.397011673","0","-5998070.1943359878","21540969.362952851","14648960.863920001","4102410.8382300013","619401.20008574962","2170196.4607170997","6892008.4990328504"
2009-02-01,"53523404.580979005","53519239.187979802","-4165.3929992000003","-13157015.446541928","1687385.5273608002","1959953.9158817001","-272568.38852089999","15682863.696982469","0","-6140145.2680703551","20230765.696745049","14188880.600419998","4153121.9032000019","622988.02853915363","1265775.1645858998","6041885.0963250548"
2009-03-01,"54121841.502138287","54102540.615366384","-19300.886771899997","-13994098.295523074","1668653.7564453001","1935427.3287076","-266773.57226229995","15876555.436417507","0","-6099359.4615219291","19820482.065121077","13713708.760710003","3845706.7821099977","610723.24873197649","1650343.2735690996","6106773.3044110741"
2009-04-01,"53949109.53133671","53946332.169090107","-2777.3622465999983","-15092949.144283639","1668955.8846503003","1935510.0886447001","-266554.20399439998","15463333.595784301","0","-5775221.7965680901","19286560.879350983","13695525.21408","3689997.0185999987","565482.93892578699","1335555.7077451996","5591035.665270986"
2009-05-01,"55025195.469344698","55021950.843874097","-3244.6254705999995","-16211804.937160678","1661636.8732586999","1935835.7677690999","-274198.89451039996","14787920.546699991","0","-6339079.3256256338","19348027.533117093","13854831.21521","3851984.6257499992","512131.88542559335","1129079.8067315002","5493196.3179070931"
2009-06-01,"55450854.685141303","55442875.591960505","-7979.0931808000005","-15645075.490415856","1659001.7236321","1935762.5045232","-276760.7808911","14238228.965837318","0","-6180254.7208238915","21046297.231696334","14029722.305730002","5315807.0520500001","486968.86862883426","1213799.0052874999","7016574.9259663345"
2009-07-01,"55817106.488507099","55798882.641403399","-18223.847103700002","-16557844.935554955","1634425.1234287003","1935755.0272466002","-301329.90381789999","13096720.937328277","0","-6136586.6968673263","21660379.042185239","14112625.435869999","5841669.3916300004","455322.56629314087","1250761.6483920999","7547753.6063152412"
2009-08-01,"57920765.529082306","57900258.155314304","-20507.373767999998","-16285247.744686084","1385771.9800684","1700106.4729304002","-314334.49286200001","12703055.800369104","0","-7752031.2268261556","22566202.737269364","14185761.670609999","6549574.0429900018","452610.27209837246","1378256.7515709996","8380441.0666593742"
2009-09-01,"58920584.875216909","58920080.131236106","-504.74398079999906","-15842018.450560136","1377463.5041486002","1700316.6055997002","-322853.10145109997","11993698.771436796","0","-8156110.1642905138","24306220.993078064","14321078.065699998","7895932.4014400011","460313.78187046386","1628896.7442275996","9985142.9275380652"
