"MES","SIRB01","SIRB02","SIRB03","SIRB04","SIRB05","SIRB06","SIRB07","SIRB08","SIRB09","SIRB10","SIRB11","SIRB12","SIRB13","SIRB14","SIRB15","SIRB16","SIRB17","SIRB18","SIRB19","SIRB20","SIRB21"
2009-06-01,"7955.6462962899996","7954.5015196499999","-1.1447766399999999","1038.0753725506156","1058.3239197285209","20.248547177905301","132.68293487","132.68293487",,,,,,,,,,,,,
2009-07-01,"8008.1931834300003","8005.5785712200004","-2.6146122100000002","1075.6728917102048","1096.5762321219695","20.903340411764699","132.70502214000001","132.70502214000001",,,,,,,,,,,,,
2009-08-01,"8310.0094015899995","8307.06716719","-2.9422343999999998","1143.1456296212025","1162.4604801950907","19.314850573888101","132.7627268","132.7627268",,,,,,,,,,,,,
2009-09-01,"8453.4555057699999","8453.3830891300004","-7.2416640000000004E-2","1311.5730412521802","1327.6470443411329","16.074003088952701","142.51832867000002","142.51832867000002",,,,,,,,,,,"9765.0285470221806","9781.030133471133","16.0015864489527"
2009-10-01,"8599.159561890001","8597.4485053600001","-1.71105653","1252.4226330907338","1268.9424976990551","16.519864608321399","142.55446406000002","142.55446406000002",,,,,,,,,,,,,
2009-11-01,"8760.1666816599991","8760.4507211599994","0.2840395","1268.7210200572497","1280.2181778305639","11.4971577733142","142.57527779999998","142.57527779999998",,,,,,,,,,,,,
2009-12-01,"8580.1026587399992","8580.4910684999995","0.38840975999999999","1494.4662145735504","1510.2271237557597","15.760909182209501","142.57527779999998","142.57527779999998",,,,,,,,,,,"10217.144151113549","10233.29347005576","16.149318942209501"
2010-01-01,"8558.3675389799992","8558.3288466899994","-3.8692289999999997E-2","1492.728944374024","1507.4837265777542","14.754782203730201","153.37602507999998","153.37602507999998",,,,,,,,,,,,,
2010-02-01,"8523.5093558400004","8523.3947529800007","-0.11460286","1412.9955818656344","1431.9974168268971","19.001834961262603","153.44077597999998","153.44077597999998",,,,,,,,,,,,,
2010-03-01,"8447.3408166099998","8448.5276376500005","1.1868210400000001","1451.9770591807246","1465.9419822309399","13.964923050215248","164.27927566","164.27927566",,,,,,,,,,,,,
2010-04-01,"8440.2404837200011","8440.1718134500006","-6.8670270000000005E-2","1490.5943454404091","1502.5518599095626","11.957514469153466","164.32853863999998","164.32853863999998",,,,,,,,,,,,,
