"MES","SEMV01","SEMV02","SEMV03","SEMV04","SEMV05","SEMV06","SEMV07","SEMV08","SEMV09","SEMV10","SEMV11","SEMV12","SEMV13"
2007-05-01,"1829.57674","15857.746560000001","17687.3233","1558.1071999999999","2665.5003399999996","2108.5064700000003","60853.712189999998","286.12844000000001","14984.637359999999","11381.15446","365.05515000000003","939.86821999999984","112829.99313"
2007-06-01,"1753.9641299999998","16024.4692","17778.43333","2009.6975900000002","3164.8335299999999","1906.0473300000001","57875.519039999999","719.59424999999999","14484.313620000001","9866.6571200000017","203.16113000000001","1143.7552399999997","109152.01217999999"
2007-07-01,"2058.2118700000001","9765.7232700000004","11823.935140000001","1498.2768000000001","1525.3577399999999","1923.4316799999999","53272.903210000004","484.02421999999996","12631.687110000001","9959.2721399999991","659.04744000000005","903.73264000000006","94681.668120000017"
2007-08-01,"1491.6194800000001","11655.536","13147.155479999999","2298.4522000000002","3671.9049999999997","5638.6262300000008","59037.779590000006","390.64800000000002","16998.82474","8794.014000000001","181.95360000000002","978.13780999999994","111137.49664999999"
2007-09-01,"1954.37084","16897.160059999998","18851.530899999998","1355.9536000000001","1965.0897300000001","7044.45766","61263.792890000004","356.97284999999999","18473.152569999998","8901.9487699999991",,"1565.22875","119778.12771999999"
2007-10-01,"1893.1713","21178.292710000002","23071.464010000003","1336.2692","2668.2731000000003","9009.6360000000004","74078.255799999999","395.20148","24732.761570000002","10184.662","101.32564000000002","921.29111","146499.13991000003"
2007-11-01,"4742.7004299999999","33006.727220000001","37749.427649999998","1268.4100000000001","1561.1999999999998","12259.737939999999","68884.551590000003","875.70519999999999","31301.192630000001","11357.865250000001","97.301500000000019","1340.4929","166695.88466000001"
2007-12-01,"13983.967420000001","24901.344410000002","38885.311830000006","2243.4784","1256.58105","13248.27961","66146.172439999995","338.03865999999999","33044.842860000004","11065.10318","252.22518999999994","1297.28313","167777.31635000001"
2008-01-01,"5455.5248099999999","16131.10655","21586.631359999999","2241","2483.6471999999999","12097.630060000001","52134.483850000004","451.80046000000004","30161.04351","13642.432500000001","10.57","821.86197000000016","135631.10091000001"
2008-02-01,"821.94673","16244.83879","17066.785520000001","1530.2592099999999","2157.3208400000003","11164.762789999999","61497.230380000001","300.17328000000003","34339.075270000001","11364.842859999999","74.074960000000019","937.12048000000004","140431.64559"
2008-03-01,"2728.6584700000003","17089.432780000003","19818.091250000005","1810.6256000000001","2639.8158700000004","13075.49303","70266.01874","490.69388000000004","38438.386229999996","11915.833190000001","86.926800000000043","1016.9897900000001","159558.87437999999"
