"MES","BCTP01","BCTP02","BCTP03","BCTP04","BCTP05","BCTP06","BCTP07","BCTP08","BCTP09","BCTP10","BCTP11","BCTP12","BCTP13","BCTP14","BCTP15","BCTP16","BCTP17","BCTP18","BCTP19","BCTP20","BCTP21","BCTP22","BCTP23"
2006-03-01,"1290360.39115","222411.50740999999","1056341.0164699999","127.3135","11480.55377","1816015.8752199998","17185.778119999999","1797890.5097699999","939.58733000000007",,"9469.5057199999992","0.11322","9290.3717899999992","179.02070999999998","190381.65067","0","58079.876279999997","132301.77439000001","20734.485710000001","20579.357739999999","155.12797","463775.65000999998","466724.12467999995"
2006-04-01,"1295670.44313","235045.00672999996","1048727.24819","122.79065000000001","11775.397560000001","1817516.1061299997","18374.067769999998","1798266.0745899996","875.96377000000007",,"9703.7236299999986","0.15822","9524.7693199999994","178.79608999999999","181870.86872","0","51168.064099999996","130702.80462","39101.914629999999","38923.880499999999","178.03413","462575.29331999994","468641.12321999995"
2006-05-01,"1295643.0123599998","261103.36503000002","1021411.4666799998","49.100550000000005","13079.080099999999","1796163.7008699998","19700.088060000002","1775594.3610799999","869.25172999999995",,"9453.8128799999995","0.11322","9274.9035700000004","178.79608999999999","183166.98308000001","0","52633.029320000001","130533.95376","4298.7248499999996","4141.8366599999999","156.88819000000001","455248.11195000005","473519.54229000001"
2006-06-01,"1312479.1831399999","303894.07378999999","995034.02813999995","48.177740000000007","13502.903470000001","1750595.79608","25310.46312","1724415.94312","869.38984000000005",,"9497.9060299999983","0.11322","9318.9967199999992","178.79608999999999","182109.26337","0","51851.372929999998","130257.89044","6214.4750899999999","6056.1610700000001","158.31402","466229.24883000006","476760.41036999994"
2006-07-01,"1330775.45566","327479.62669999996","987640.43884000008","50.64","15604.750119999999","1736601.8894500001","34050.167829999999","1701682.3317800001","869.38984000000005",,"9645.2121299999999","67.791139999999999","9398.6249000000007","178.79608999999999","179905.56151999999","0","49905.797310000002","129999.76420999999","8662.9003300000004","8540.7088299999996","122.1915","467052.90846000001","480711.09672999999"
2006-08-01,"1336882.0200399999","328991.68776","992323.82006000006","67.28219","15499.230029999999","1711413.62913","41350.341660000006","1669194.98967","868.29779999999994",,"9586.6438500000004","0.11322","9407.9591600000003","178.57147000000001","178748.51017000002","0","49190.106530000005","129558.40364","4076.0086999999994","3942.5615099999995","133.44719000000001","474436.41120000003","486517.85102999996"
2006-09-01,"1323140.389","306231.77111999999","1001438.79208","57.607130000000005","15412.21867","1698397.1234799996","47469.600470000005","1650062.5277899997","864.99522000000002",,"9693.2810200000004","0.11322","9514.5963300000003","178.57147000000001","175850.28014000002","0","46439.870439999992","129410.40970000002","3842.0642400000002","3723.63436","118.42988000000001","478177.46972000005","489333.37386999995"
2006-10-01,"1343070.01902","310973.0184","1015771.26445","53.119990000000008","16272.616179999999","1675377.4530500001","50120.915810000006","1624384.8037600003","871.73347999999999",,"10011.765890000001","0.11322","9833.0812000000005","178.57147000000001","172089.03841000001","0","44028.512070000004","128060.52634000001","4094.0861300000006","3957.1895700000005","136.89655999999999","480484.34813000011","492458.91551999998"
2006-11-01,"1380351.9662200003","319757.42036999995","1043549.1574400001","53.570279999999997","16991.81813","1665520.9296199994","53571.011909999987","1611078.1842299995","871.73347999999999",,"11113.476420000003","0.90442000000000011","10934.000530000001","178.57147000000001","170412.76715999999","0","42442.836479999998","127969.93068","4507.1914999999999","4383.6601899999996","123.53130999999999","484845.05391000008","496048.07071"
2006-12-01,"1483063.13234","354446.80559999996","1110367.37943","53.570279999999997","18195.37703","1658891.8460199998","57813.005059999996","1600209.1603299999","869.68062999999995",,"11339.84168","0.11322","11161.606229999999","178.12223","165064.31088999999","0","41776.375309999996","123287.93557999999","21788.570480000002","21670.588950000001","117.98152999999999","472022.9912600001","496634.20838999999"
