"MES","AMOL01","AMOL02","AMOL03","AMOL04","AMOL05","AMOL06","AMOL07","AMOL08","AMOL09","AMOL10","AMOL11"
2010-12-01,"77599178.459639639","105928.31603619999","77493250.143603444","-7096407.4438349195","-7149159.5045942003","-1791991.7112963998","-1400834.2494660001","-17438392.909191519","49207945.37086834","-21917010.550283708","87345792.05499655"
2011-01-01,"77574142.838661656","98346.263982200006","77475796.574679449","-8172767.9306970108","-7576371.4896982005","-1843930.8106063998","-1212494.3047334","-18805564.535735011","49180834.715261504","-21871206.315804601","85979860.438401341"
2011-02-01,"79528548.400504902","141369.26178879998","79387179.138716102","-8621250.8658521473","-8111707.8789895996","-1860737.6245052","-1416798.3544823998","-20010494.723829348","49657953.059730306","-22598874.512126159","86435762.962490901"
2011-03-01,"79955918.210335553","94316.563947000002","79861601.646388546","-9007064.9528607056","-8199667.6835459992","-1888493.321884","-990220.02810999996","-20085445.986400705","50475808.584074214","-23176114.460658588","87075849.783403456"
2011-04-01,"82306442.620659396","73121.66647159998","82233320.954187796","-11145316.796936836","-9095544.7109166998","-1967253.7692584","-571896.27346019982","-22780011.550572135","51626496.028185055","-23922868.338876911","87156937.09292382"
2011-05-01,"81831457.222993076","61155.939687899998","81770301.283305183","-11414640.8996564","-9470394.1060515009","-2051446.6328984001","-608186.68057750002","-23544668.319183804","53315904.608564056","-23721352.063493066","87820185.509192377"
2011-06-01,"82549530.14095059","87854.43639599999","82461675.704554588","-10419999.690096896","-9742343.5965716001","-2012688.9365028003","-577476.7339343999","-22752508.957105692","54478784.653369159","-23531940.02979137","90656011.37102668"
2011-07-01,"85203195.811449975","83238.649991800004","85119957.161458179","-11527082.808226166","-10455434.0792883","-2088717.7789371999","-859391.47330560011","-24930626.139757264","55541346.727364697","-24414437.97229404","91316239.776771575"
2011-08-01,"88972104.288142353","135650.52346210001","88836453.764680251","-11849929.230491316","-11028428.073784301","-2111471.2561071999","-286564.40923410002","-25276392.969616916","56431600.126770452","-27038074.346524894","92953586.575308889"
2011-09-01,"86693159.432465538","45009.969042200006","86648149.463423342","-12037130.157703713","-11253558.587669399","-2095704.5557972","-360486.95649619983","-25746880.257666513","57419069.853964746","-23952865.306582093","94367473.753139481"
2011-10-01,"90072371.608246922","89571.363915600014","89982800.244331315","-12337930.171048667","-11620581.377543103","-2518216.4823272","373569.99779139995","-26103158.033127572","58116754.705950111","-26521113.095932811","95475283.821221039"
2011-11-01,"91219455.017203718","50625.338912399995","91168829.678291321","-12193577.003638254","-11681798.239780396","-2955344.5290516","1298497.7977644","-25532221.974705853","59123267.293256171","-26456169.423191346","98303705.573650301"
2011-12-01,"90604219.183631882","81881.325990800004","90522337.857641086","-10328872.648064421","-10997659.748119799","-2929277.0814016005","1232327.7451230001","-23023481.732462823","60422136.893964037","-24569360.566431634","103351632.45271066"
2012-01-01,"93535720.483401328","94229.959875800007","93441490.523525521","-13039283.288431693","-11313448.725441201","-3161048.5088016","1298710.6105738","-26215069.912100695","60632123.520641916","-25390158.899537787","102468385.23252897"
2012-02-01,"95385342.917153403","109559.17068820001","95275783.746465206","-13493614.924767509","-11891346.9706118","-3209309.2675716006","1366271.8492035998","-27227999.313747309","60982641.038675196","-25616501.440273836","103413924.03111924"
2012-03-01,"95144600.080005318","73811.866968799994","95070788.213036522","-13234229.739307914","-12415535.169905001","-3401423.1917216","1737992.8725888","-27313195.228345718","61860249.679339826","-24161615.193466261","105456227.47056437"
2012-04-01,"95681147.053242266","74288.4598864","95606858.593355864","-14967982.650940243","-12747108.637544001","-3452643.5147516001","1944870.1801639996","-29222864.623071846","63349609.899888694","-23727540.002547115","106006063.86762559"
2012-05-01,"94264566.364891604","76463.063502800011","94188103.3013888","-14173881.240627537","-13447993.539242798","-3585497.0112116002","2047009.0343283999","-29160362.756753534","64688070.24046018","-22034539.928645395","107681270.85645005"
2012-06-01,"94619595.126972854","67102.153180599998","94552492.973792255","-13368189.845586257","-13863793.089910001","-3641511.6425016001","2105421.8708349993","-28768072.707162857","65772574.028227016","-22084169.056451932","109472825.23840448"
2012-07-01,"96542472.163136303","90312.065124200002","96452160.098012105","-14665095.926742034","-14308701.624099601","-3757659.8971916004","1997308.8748345999","-30734148.573198635","66994732.560154259","-23032515.894758761","109680228.19020897"
2012-08-01,"98860977.543370143","132255.90452180002","98728721.638848349","-15642011.678894265","-14701612.419065399","-3825980.7867415999","1857689.9281102","-32311914.956591066","68139278.71890603","-23592668.092799909","110963417.30836341"
2012-09-01,"101436679.59009625","97590.411246200005","101339089.17885005","-16625605.619512711","-14574149.207517397","-3929761.6537516001","2749748.6333095995","-32379767.847472105","68794433.981499508","-26012435.347066708","111741319.96581078"
2012-10-01,"103495176.62099591","152740.44458919999","103342436.17640671","-19205409.527444098","-15088605.8223616","-3990290.6835316001","3902408.3713617995","-34381897.661975496","70024350.039715528","-25414732.748605832","113570155.8055409"
