"MES","BPDP01","BPDP02","BPDP03","BPDP04","BPDP05","BPDP06","BPDP07","BPDP08","BPDP09","BPDP10"
2014-06-01,"21286820.012800004",7096114.75928,1773747.3318,186163.34947,101580.08,300828.25535,206774.19983,172927.29276,3932.54242,31128887.82371
2014-07-01,"22397136.659579996",8880260.57386,1951395.15728,186049.04587,123877.5985,278595.296,232265.9315,200562.96521,5437.16569,34255580.39349
2014-08-01,"22913595.079389997",9423415.31078,2014236.56926,183503.42034,128851.91863,279451.55462,228443.17645,201112.16455,6351.68986,35378960.88388
2014-09-01,"23226855.649289995",9625049.85908,1942642.15046,191224.9408,131038.63875,295364.3208,229448.99537,206631.32545,7741.53615,35855997.41615
2014-10-01,"23514551.234419998",10053048.99059,1990251.67517,202392.32248,132414.55461,338403.36734,242995.77234,220304.97178,11994.76634,36706357.65507
2014-11-01,"23084455.651679996",11013147.95468,1972286.8851,199645.43052,129541.85129,314565.72448,239191.46919,210942.90077,11521.99308,37175299.86079
2014-12-01,"23178082.341239996",11558886.32283,1966409.21795,200578.55202,130819.14854,319039.30421,238705.29386,199079.4435,11693.02121,37803292.64536
2015-01-01,"23405407.605580002",11589910.50022,2163940.47542,197478.7984,132318.04452,286887.90174,234950.71148,198214.95415,12475.63466,38221584.62617
2015-02-01,"23796605.735360004",11668967.09654,2244901.31953,196809.74053,133086.03329,288174.14262,229297.3928,198734.03585,12092.89964,38768668.39616
2015-03-01,"23946965.231809996",11829371.28507,2245398.7089,207823.65604,131023.71307,286092.89449,227543.99132,196950.05635,17429.23224,39088598.76929
2015-04-01,"24102901.969190001",12043924.78305,2196513.99596,196515.29707,128136.59579,289632.36488,223487.37313,199002.90929,17461.18191,39397576.47027
2015-05-01,"25429768.722750001",12570635.41575,2203530.39729,192815.76739,124469.74756,290175.22472,221795.46245,193858.3582,17076.83603,41244125.93214
2015-06-01,"26623267.973550007",12877264.4831,2166831.81936,173529.64259,125122.8045,282433.1525,214081.41216,192794.9058,18145.36178,42673471.55534
2015-07-01,"27616849.007819995",13335661.6242,2164693.08485,169902.3758,125803.36396,280568.01893,183579.31303,169992.49234,19248.59749,44066297.87842
2015-08-01,"27843849.777300004",13425835.70067,2104165.37051,169492.87815,122634.89256,266118.28344,185066.00451,150494.50795,19058.33935,44286715.75444
2015-09-01,"28056532.388519999",13483066.86053,2035212.13073,167093.20953,123992.69894,254527.2318,185300.68038,150197.24846,13346.8606,44469269.30949
2015-10-01,"28735064.278629996",13650837.33892,2031925.87938,162807.10291,143371.4448,242928.47036,185988.84218,150078.49648,14059.86938,45317061.72304
2015-11-01,"28467577.84158",13602226.13661,1903652.70256,161825.66821,141470.68134,245244.2016,188895.89988,149318.76312,13615.49289,44873827.38779
2015-12-01,"29290571.585300002",13726961.76881,1874089.2683,156258.30629,141881.6355,238381.2055,187993.15515,129901.22567,11020.25471,45757058.40523
