"MES","BCDA01","BCDA02","BCDA03","BCDA04","BCDA05","BCDA06","BCDA07","BCDA08","BCDA09","BCDA10","BCDA11","BCDA12","BCDA13"
2008-04-01,,"60136.324540000001","848372.23745999997",,,"57698.027970000003","86985.41767000001","1053192.00764","0","600633.47107999993","0","95527.479579999999","357031.05697999999"
2008-05-01,,"56866.860749999993","841614.14052000002",,,"58369.395550000001","87366.540110000016","1044216.9369300001","0","593192.48213000002","0","90228.516090000005","360795.93870999996"
2008-06-01,,"57106.069899999995","840313.21033999999",,,"59332.051780000002","86037.575260000012","1042788.9072799999","0","585999.21935999987","0","91784.308250000002","365005.37967000005"
2008-07-01,,"56188.413520000002","831233.42364000005",,,"60172.323759999999","95743.164199999999","1043337.3251200002","0","579414.95848000003","0","94916.678920000006","369005.68772000005"
2008-08-01,,"15430.501800000002","841756.8878599999",,,"61099.131869999997","113033.85497999999","1031320.3765099999","0","568530.13056000008","0","89478.236950000006","373312.00900000002"
2008-09-01,,"14908.899429999999","860209.27826000005",,,"61775.571560000004","96906.307530000005","1033800.05678","0","565629.10074000002","0","93124.581780000008","375046.37426000001"
2008-10-01,,"14756.28853","876745.11806999985",,,"62467.084990000003","92586.082419999992","1046554.5740099999","0","564010.70560999995","0","104294.07697000001","378249.79142999998"
2008-11-01,,"17507.166400000002","870768.21821999992",,,"63130.384039999997","91711.053599999999","1043116.8222599999","0","565842.08377000014","0","97052.300650000019","380222.43783999997"
2008-12-01,,"17799.722500000003","927996.52178999991",,,"64007.030820000007","116563.10715000001","1126366.3822599999","0","640389.72720999992","0","92517.952930000014","393458.70211999997"
2009-01-01,,"16009.622319999999","916037.74182000011",,,"64824.906630000005","136762.00506","1133634.2758300002","0","640389.72720999992","0","94988.496280000007","398256.05233999999"
2009-02-01,,"31652.158299999999","880610.17812000017",,,"65468.128659999995","144309.46078999998","1122039.9258700002","0","631901.70805000002","0","89111.872610000006","401026.34521"
2009-03-01,,"19671.702579999997","824127.23039000004",,,"65942.805950000009","217978.15601000001","1127719.8949300002","0","630922.44360999996","0","91521.076240000009","405276.3751"
2009-04-01,,"18331.35687","816927.01629000006",,,"66328.282200000001","231556.79668999993","1133143.45205","0","630922.44360999996","0","93154.57362000001","409066.43481999997"
2009-05-01,,"16788.00187","784955.21683999989",,,"66627.368969999996","239314.46225000001","1107685.04993","0","628998.85045999999","0","94073.631819999995","384612.56765000004"
2009-06-01,,"17375.726900000001","757615.12293000007",,,"67111.526010000001","267848.04988999997","1109950.42573","0","629000.49524000008","0","94430.085340000005","386519.84515000001"
2009-07-01,,"31033.26053","734296.87284000008",,,"67477.668939999989","281772.77502999996","1114580.5773400001","0","629000.49524000008","0","96870.61615999999","388709.46593999997"
2009-08-01,,"24457.655429999999","713722.67741999996",,,"67643.250409999993","299659.46838000009","1105483.0516400002","0","620512.47608000005","0","94188.414120000001","390782.16144"
2009-09-01,,"26621.333699999999","672490.82591999997",,,"67722.048909999998","341174.11295000004","1108008.3214799999","0","619533.21163999999","0","96284.944990000004","392190.16485"
2009-10-01,,"1145.83384","688206.61079000006",,,"67786.889409999989","354458.40236999991","1111597.7364099999","0","619533.21163999999","0","98365.114409999995","393699.41035999998"
2009-11-01,,"17908.027760000001","728786.28715999983",,,"67817.869569999995","308391.98992000008","1122904.17441","0","628188.08932999999","0","101959.58124999999","392756.50383"
2009-12-01,,"9689.8384799999985","760160.03773999994",,,"45071.037530000001","317585.75379000005","1132506.6675400001","0","636864.87687000004","0","95313.525419999991","400328.26525"
2010-01-01,,"32785.454959999995","746118.96876999992",,,"15326.333310000002","341308.11926999997","1135538.87631","0","636864.87687000004","0","97423.048610000013","401250.95082999999"
2010-02-01,,"28395.266079999998","758991.55395000009",,,"11.605","337164.66839999997","1124563.0934299999","0","628376.85770999989","0","94173.227329999994","402013.00838999997"
2010-03-01,,"1770.2846100000002","801650.73875999998",,,"12.62","322701.95594000001","1126135.59931","0","627397.59326999995","0","96132.154660000015","402605.85138000001"
2010-04-01,,"15545.460650000003","817115.83544000005",,,"15.351000000000001","296405.28776999988","1129081.9348599999","0","627397.59326999995","0","98719.079540000006","402965.26204999996"
2010-05-01,,"14829.625139999998","819711.90014999988",,,"8.3250000000000011","295048.13032999996","1129597.9806199998","0","625474.00011999998","0","98488.335190000027","405635.64530999999"
2010-06-01,,"3066.5218599999998","844525.62494999997",,,"6.258","283836.27468999993","1131434.6794999999","0","625566.61496999988","0","99042.772929999992","406817.76614000002"
2010-07-01,,"41936.734120000001","914840.4206699999",,,"8.5619999999999994","204277.7494","1161063.4661900001","0","625566.61496999988","0","128542.82901999999","406954.02220000001"
2010-08-01,,"24632.369089999997","949538.94887999992",,,"7.5410000000000004","141766.55462999997","1115945.4135999999","0","617078.59580999997","0","123284.49960000001","375582.31819000002"
2010-09-01,,"4246.1144899999999","988905.6346799999",,,"4.2589999999999995","116366.15314000001","1109522.1613099999","0","616099.33136999991","0","116735.76637000001","376687.06357"
