"MES","BPCA01","BPCA02","BPCA03","BPCA04","BPCA05","BPCA06","BPCA07","BPCA08","BPCA09","BPCA10"
2014-06-01,"10314082.100850001",8840348.9039,4961820.43045,1091167.55766,905570.35425,1119478.71097,1325796.3762,444524.28186,149041.45686,29151830.173
2014-07-01,"10275210.17811",9156712.95811,5278472.09393,1115645.40098,1017507.50601,1158502.41888,1401774.44074,508528.21424,158189.83034,30070543.04134
2014-08-01,"10777166.696519999",9172667.16142,5256352.79418,1112050.86932,1037131.02863,1159060.10897,1424683.65159,525494.48413,167941.53315,30632548.32791
2014-09-01,"11571949.384760002",9406241.56574,5305357.14322,1115797.32095,1052409.01602,1190884.04845,1479586.28341,562281.8728,174512.23515,31859018.8705
2014-10-01,"11823548.638560001",9858520.61626,5409155.59703,1124216.26638,1088354.34299,1216560.01602,1533282.56164,574155.73694,172198.70331,32799992.47913
2014-11-01,"11590509.849579999",10132109.48811,5398827.34632,1144895.90801,1086685.37373,1212669.1556,1521563.50848,575848.50113,175096.27881,32838205.40977
2014-12-01,"12972506.404959999",10950745.31039,6016598.68309,1312150.41802,1274665.47164,1435381.49189,1859805.06658,702469.84454,237421.44621,36761744.13732
2015-01-01,"12706825.356000001",10728322.63445,5887827.75764,1294204.0243,1213948.91605,1348330.03542,1747367.96817,641667.88727,214050.87933,35782545.45863
2015-02-01,"12274406.749690002",11206580.46586,5801945.13922,1260617.92725,1184279.27271,1318391.00976,1709987.82919,597063.98025,214430.23799,35567702.61192
2015-03-01,"11187466.361279998",10537472.44302,5849711.40939,1248003.25352,1175709.2589,1317443.2348,1720893.49094,595534.28587,207623.53978,33839857.2775
2015-04-01,"11976089.64071",10996987.10736,5859580.18356,1246071.31887,1184299.84669,1339005.71423,1723311.75765,608260.90625,200879.02969,35134485.50501
2015-05-01,"12197917.454970002",11423587.00753,5964856.51683,1261818.94355,1212101.2735,1336560.26996,1747555.07346,610608.87198,225734.05754,35980739.46932
2015-06-01,"13555569.58361",11345178.67747,5995573.42965,1280017.87382,1217853.73618,1368835.69721,1713960.26346,613058.11092,218476.94782,37308524.32014
2015-07-01,"13521596.97938",11344830.74997,6049745.27262,1285362.55942,1214803.55969,1338371.84256,1710692.55957,584445.30951,197697.16822,37247546.00094
2015-08-01,"15296692.601780001",11782615.25158,6074740.68341,1286416.62901,1184856.21469,1314665.3083,1698381.4484,577413.04708,200414.90425,39416196.0885
2015-09-01,"16557822.351369999",11903009.77924,6143251.28148,1281433.24838,1200242.15959,1341660.15565,1720259.37433,562679.76931,192808.39942,40903166.51877
2015-10-01,"17166482.414240003",12013717.62327,6224420.64021,1310024.35635,1229406.95812,1383286.25926,1744384.41725,564211.68945,192334.30127,41828268.65942
2015-11-01,"18330091.013759997",11964231.99142,6254344.2205,1303900.84217,1215674.5847,1357638.17244,1713871.25536,550863.60498,186008.65838,42876624.34371
2015-12-01,"19819956.05167",13055795.64159,7080013.0464,1525325.67944,1475724.16197,1661261.9729,2039312.19489,695547.06518,248762.4142,47601698.22824
