"MES","BCOP01","BCOP02","BCOP03","BCOP04","BCOP05","BCOP06","BCOP07","BCOP08","BCOP09","BCOP10","BCOP11","BCOP12","BCOP13","BCOP14","BCOP15","BCOP16","BCOP17","BCOP18","BCOP19","BCOP20","BCOP21","BCOP22","BCOP23","BCOP24","BCOP25","BCOP26","BCOP27","BCOP28","BCOP29","BCOP30"
2005-09-01,"1892917.21536","95.870800000000003","11.353950000000001","84.516850000000005","0","605217.36938000005","40213.736170000011","564301.26922999998","0","702.36397999999997","1284745.8130300001","5717.1635900000001","1279028.6494400001","0",,"2858.1621499999997","2305.89","552.2721499999999","51372.209709999996","0","11523.40878","39848.800929999998","2188.5275099999999","1756.7782999999999","431.74921000000001","-","0","1186.8479600000001","385576.18766","377808.69508000003"
2005-10-01,"1888439.8617799995","87.352919999999997","59.975079999999998","27.377839999999999","0","604222.40438999992","43261.970600000008","560106.25668999995","0","854.1771","1281733.8171699997","6276.4757399999999","1275457.3414299998","0",,"2396.2873","1735.2257299999999","661.06157000000007","50918.457549999999","0","11231.0504","39687.407149999999","2155.69092","1764.5266000000001","391.16432000000003","-","0","986.24447999999995","388069.18481999991","375710.57810000004"
2005-11-01,"1894455.9863299998","56.720640000000003","29.3428","27.377839999999999","0","612318.96581999992","53216.357190000002","558146.22295999993","0","956.38567","1280724.4178299999","6575.4751999999999","1274148.9426299999","0",,"1355.88204","852.57518999999991","503.30685000000005","48410.277000000002","0","11500.336810000001","36909.940190000001","1943.6530499999999","1563.8367599999999","379.81628999999998","-","0","986.24447999999995","349227.15178999997","377142.72144000005"
2005-12-01,"1901463.3233999999","31.630520000000001","7.5949999999999998","24.035520000000002","0","627568.28317000007","61556.082860000002","565170.9580300001","0","841.24228000000005","1269793.6219299999","6919.5845799999997","1262874.0373499999","0",,"4069.7877800000001","939.19031000000007","3130.5974700000002","43826.630870000001","0","11123.797559999999","32702.833310000002","7341.9109300000009","6874.6149000000005","467.29603000000003","-","0","990.68904000000009","358130.46795000008","368580.48606000002"
2006-01-01,"1892398.6138399998","1.8340999999999998","1.8340999999999998","0","0","622923.23725000001","59102.999839999989","562706.37476000004","0","1113.8626499999998","1268099.1436999999","8216.1141199999984","1259883.0295799999","0",,"1374.39879","847.30835999999988","527.09043000000008","45014.000509999998","0","11222.94298","33791.057529999998","7051.9198000000006","6619.4227300000002","432.49689000000001","-","0","990.68904000000009","366858.60837999999","373123.20878000004"
2006-02-01,"1911517.0349299998","17.9801","17.9801","0","0","631813.62502000004","69605.205559999988","561248.30163","0","960.11782999999991","1277537.5975299999","9581.1282300000003","1267956.4693","0",,"2147.8322800000001","1483.0916099999999","664.74067000000002","44313.802269999993","0","10092.23119","34221.571079999994","6923.890510000002","6568.3423300000022","355.548","-","0","989.45068000000003","365792.87251999998","379347.48322000005"
2006-03-01,"1911861.5628600002","54.82217","1.8340999999999998","52.98807","0","625714.46175000013","69412.581680000003","555035.71484000003","0","1266.1652300000001","1284566.60088","11023.524310000001","1273543.07657","0",,"1525.67806","790.14181999999994","735.53624000000002","39914.209170000002","0","5774.22912","34139.980049999998","5585.281500000001","5133.4270700000006","451.85424999999998","-","0","986.97395999999992","366423.74832000001","388306.48445999995"
2006-04-01,"1927550.2076800002","57.236339999999998","1.8340999999999998","55.402239999999999","0","633646.15277000004","73848.900769999993","557959.17911000014","0","1838.0728899999999","1292142.59574","11923.9131","1280218.68264","0",,"1704.2228300000002","1141.38903","562.8338","40776.797270000003","0","6677.6127500000002","34099.184520000003","2404.67805","2035.1835000000001","369.49437","-","0","787.84640999999999","364840.37654000008","389529.43949000002"
2006-05-01,"1909818.76712","1.8340999999999998","1.8340999999999998","0","0","633355.24567999993","77097.687570000009","554343.66052000003","0","1913.89759","1274967.64644","13605.85893","1261361.7875099999",,,"1494.0409","923.22530999999992","570.81559000000004","40739.57501","0","7904.2213400000001","32835.353669999997","2379.79826","1966.1478399999999","413.65042","-","0","792.55117000000007","362026.37181999994","393512.15265"
2006-06-01,"1897425.67405","1.8340999999999998","1.8340999999999998","0","0","644525.38946000009","87858.338659999994","553684.38300000003","0","2982.6677999999997","1251381.1884399999","17878.755710000001","1233502.43273",,,"1517.2620499999998","984.14261999999997","533.11942999999997","37847.967039999996","0","7129.6985100000002","30718.268529999998","2493.3580999999999","2067.45363","425.90446999999995","-","0","792.55117000000007","367190.8064","401846.67382999999"
