"MES","AMFV01","AMFV02","AMFV03","AMFV04","AMFV05","AMFV06","AMFV07","AMFV08","AMFV09","AMFV10","AMFV11","AMFV12","AMFV13"
2003-06-01,"818111.80699999817","58110.35587400198","178227.35587400198","-120117","876222.16287400015","524054.33770359959","-10990.498149999883","-51922.48900000006","-2515.6235117171891","458625.72704188246","417596.43583211768","251134.58083212003","166461.85499999765"
2003-07-01,"391580.45000000298","231630.35387399979","109822.35387399979","121808","623210.80387400277","-309972.41293110047","3916.3008100003935","187264.16499999911","183627.23945937632","64835.292338275351","558375.51153572742","135030.29153572395","423345.22000000346"
2003-08-01,"144392.64799999818","317305.70883199945","213849.70883199945","103456","461698.35683199763","-78471.134372499771","-46055.331868899986","253003.19000000134","-11102.51127843","117374.21248017158","344324.14435182605","278664.55335182697","65659.590999999084"
2003-09-01,"574662.4290000014","-111518.07908400148","-116151.07908400148","4633","463144.34991599992","230624.25708000083","64852.939509999473","101970.71999999881","-367882.62225122424","29565.294338774867","433579.05557722505","274681.18157722428","158897.87400000077"
2003-10-01,"-1419355.4350000024","-30953.331377098337","-147584.3223170992","116630.99094000086","-1450308.7663771007","-280420.56892000046","9335.7722864006646","81841.55700000003","135281.12276863074","-53962.116864969023","-1396346.6495121317","-952446.85851212963","-443899.79100000206"
2003-11-01,"222429.95800000057","145671.40751789324","60909.214149100706","84762.193368792534","368101.36551789381","177466.24307999946","3268.2466119993478","183906.15799999982","-309805.70525757596","54834.942434422672","313266.42308347113","-16408.858916528523","329675.28199999966"
2003-12-01,"1484314.8820000011","56952.67648120597","11218.860789999366","45733.815691206604","1541267.5584812071","227211.18620000128","46746.837560700253","301370.93900000118","-313789.26769747585","261539.69506322686","1279727.8634179803","506685.65341797844","773042.21000000183"
2004-01-01,"-669187.02699999884","-235894.99842784181","122587.31456160173","-358482.31298944354","-905082.02542784065","-146867.20592000056","19972.284115400165","-53483.491000000387","-203611.43069084361","-383989.84349544439","-521092.18193239626","-193437.83112239465","-327654.3508100016"
2004-02-01,"-560932.12900000252","172716.10575135425","263052.77839240059","-90336.672641046345","-388216.02324864827","94443.064039999619","-16183.318968600128","-28782.846999999136","234324.83392265486","283801.73199405521","-672017.75524270348","-419509.47505270317","-252508.28019000031"
2004-03-01,"449176.6400000006","58092.862424487248","2871.8767939973623","55220.985630489886","507269.50242448784","440739.49112000037","104621.90781780006","147701.38799999841","226742.69409799157","919805.48103579041","-412535.97861130256","-449258.58561130241","36722.606999999844"
2004-04-01,"-1059939.1359999999","277485.92395800166","120516.92395800166","156969","-782453.21204199828","72935.71403999906","17682.24355689995","-205251.15225380659","49437.932152014226","-65195.262504893355","-717257.94953710493","-547867.21353710443","-169390.7360000005"
2004-05-01,"662315.64800000191","-325575.68004200235","-246838.68004200235","-78737","336739.96795799956","-74002.612959999591","23290.380741300061","29908.806746194139","-78618.074032399803","-99421.499504905194","436161.46746290475","115485.25846290216","320676.20900000259"
2004-06-01,"-1002366.7580000013","120749.30191600136","319783.30191600136","-199034","-881617.45608399995","426555.28908000141","-793512.20771700004","-94341.946507615969","451331.52013481827","-9967.3450097963214","-871650.11107420363","-274326.09007420018","-597324.02100000344"
2004-07-01,"581812.75699999928","-225842.37612565421","-112194.32772210054","-113648.04840355366","355970.38087434508","-273466.94930343516","76314.650078699924","36271.241746194661","160021.99859998468","-859.0588785558939","356829.43975290097","364628.397462897","-7798.9577099960297"
2004-08-01,"834777.55900000036","279659.45034407079","304049.80725970119","-24390.3569156304","1114437.0093440711","114653.8100896962","25345.482726100367","193813.9992385786","168632.89819099987","502446.19024537504","611990.81909869611","474214.57538869977","137776.24370999634"
2004-09-01,"1036293.0329999998","43381.651802707464","100533.67577460036","-57152.023971892893","1079674.6848027073","342918.27339313179","13405.576327200048","141275.0394923836","4719.6226641917601","502318.5118769072","577356.17292580009","553136.44392579794","24219.729000002146"
2004-10-01,"259972.49200000055","15709.900600876659","146249.4713097997","-130539.57070892304","275682.39260087721","49528.262089696713","-9926.3683576006442","159144.10823857971","-379296.82075849921","-180550.81878782343","456233.21138870064","358576.74838870019","97656.463000000454"
2004-11-01,"666714.05584648997","2108.7003763131797","-42515.484042000026","44624.184418313205","668822.75622280315","321273.22769656591","-41634.229053504299","254842.14674619399","-116014.71362935612","418466.43175989948","250356.32446290366","187972.88046290353","62383.444000000134"
2004-12-01,"85599.945153510198","764000.07656093873","263055.5260959994","500944.55046493933","849600.02171444893","-329654.4236068679","-44895.021722895559","-133127.56750761531","-63318.706373967696","-570995.71921134647","1420595.7409257954","579948.53392579779","840647.20699999761"
