"MES","BCCA01","BCCA02","BCCA03","BCCA04","BCCA05","BCCA06","BCCA07","BCCA08","BCCA09","BCCA10","BCCA11","BCCA12","BCCA13","BCCA14","BCCA15","BCCA16"
2005-12-01,"14387087.775680002","3764877.4628000003","4248264.1512799999","6373946.1616000002","1151310.132","141951.9296","8025201.6126792217","8025201.6126792217","0","0","0","2071439.2541300002","2296622.2714300002","-225183.01730000001","876105.0545043078","26653095.758593533"
2006-01-01,"14714299.331599999","4140706.9688000004","2868839.9045600002","7704752.4582399996","1151310.132","1430492.0931200001","6201962.2581915269","6201962.2581915269","0","0","0","2114275.9948799997","2318365.1538299997","-204089.15894999998","1042948.5760164212","26655288.385807946"
2006-02-01,"15105361.178061001","4006563.0862922003","3804394.1401591999","7294403.9516095994","1149870.9943349999","1427619.2455362","6193046.8607636504","6193046.8607636504","0","0","0","2156549.3971356","2360409.5976783","-203860.20054269998","1035847.4487608972","27068295.124592349"
2006-03-01,"16167929.237878099","4282752.5010556001","4043914.4347867998","7841262.3020356987","1146992.7190050001","1424065.4522139002","5986453.274044022","5986453.274044022","0","0","0","2106930.4973109001","2307738.8156622001","-200808.3183513","1040576.5871420456","27872947.767593965"
2006-04-01,"17757974.478464402","4599865.9996392","4590879.4216028005","8567229.0572223999","1145553.5813400003","1471179.4299827998","6023753.1478593769","6023753.1478593769","0","0","0","2057737.1183431998","2270096.4536267999","-212359.3352836","1046318.9085560618","29502516.664545842"
2006-05-01,"19208852.053100798","4754150.7543243999","4445369.8830739995","10009331.415702399","1168836.5813400003","1472543.7469187998","6037262.3542690426","6037262.3542690426","0","0","0","2040605.7025151995","2248664.1293403995","-208058.42682520003","1047481.852134948","30975582.290278789"
2006-06-01,"19808932.740658805","4339822.3980460009","4891174.4453828","10577935.897230001","1168836.5813400003","1470815.6720719999","6080658.6036406849","6080658.6036406849","0","0","0","2104661.8024987997","2314047.3731644","-209385.57066560001","1030510.0049497155","31664415.405160002"
2006-07-01,"21377776.595278397","4608278.4282883992","4781003.6748652002","11988494.492124798","1168836.5813400003","1471144.9910428","6061796.5945467968","6061796.5945467968","0","0","0","2029819.2230087996","2248585.6194979995","-218766.39648920001","1037348.2138696997","33146722.199086491"
2006-08-01,"22128368.667456001","4484410.1705294997","3151089.0889095003","14492869.408017","1167368.1936750002","1451040.2161050001","6101099.3089894084","6101099.3089894084","0","0","0","2034003.5030140001","2251674.7237565001","-217671.22074250001","1031204.2375810926","33913084.126820505"
2006-09-01,"23037901.606585499","4361148.5109330006","2756242.4793194998","15920510.616332998","1167368.1936750002","1450892.5140089998","6137680.9469542913","6137680.9469542913","0","0","0","2017883.6619065003","2232433.4577495004","-214549.795843","1027997.7460716065","34839724.669201896"
